year,cohort,school_rep_code,school_rep_name,region,estb,school_division,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,campus_count,grad_program_count,has_alimi,updated_at
2019,graduate,0000115,용인대학교,경기,사립,대학원,855,140,16.4,,,,8,9,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000120,을지대학교,경기,사립,대학원,306,21,6.9,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000130,중앙승가대학교,경기,사립,대학원,95,9,9.5,,,,1,2,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000139,차의과학대학교,경기,사립,대학원,1312,75,5.7,,,,9,12,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000136,칼빈대학교,경기,사립,대학원,775,93,12,,,,2,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000138,평택대학교,경기,사립,대학원,481,37,7.7,,,,6,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000191,한국산업기술대학교,경기,사립,대학원,424,28,6.6,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000144,한국항공대학교,경기,사립,대학원,590,26,4.4,,,,2,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000151,한세대학교,경기,사립,대학원,743,62,8.3,,,,6,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000152,한신대학교,경기,사립,대학원,435,24,5.5,,,,5,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000156,협성대학교,경기,사립,대학원,455,23,5.1,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000032,가야대학교,경남,사립,대학원,121,9,7.4,,,,4,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000040,경남대학교,경남,사립,대학원,1252,68,5.4,,,,4,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000167,부산장신대학교,경남,사립,대학원,208,12,5.8,,,,5,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000181,영산대학교,경남,사립,대학원,343,22,6.4,,,,8,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000122,인제대학교,경남,사립,대학원,1416,71,5,,,,6,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000193,창신대학교,경남,사립,대학원,191,11,5.8,,,,3,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000188,경운대학교,경북,사립,대학원,139,15,10.8,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000045,경일대학교,경북,사립,대학원,156,9,5.8,,,,2,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000046,경주대학교,경북,사립,대학원,102,9,8.8,,,,2,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000185,김천대학교,경북,사립,대학원,94,3,3.2,,,,3,1,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000063,대구가톨릭대학교,경북,사립,대학원,1455,74,5.1,,,,10,12,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000061,대구대학교,경북,사립,대학원,1704,88,5.2,,,,6,7,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000042,대구한의대학교,경북,사립,대학원,365,29,7.9,,,,3,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000065,대신대학교,경북,사립,대학원,287,4,1.4,,,,2,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000076,동양대학교,경북,사립,대학원,260,7,2.7,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000111,영남대학교,경북,사립,대학원,2857,205,7.2,,,,10,13,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000112,영남신학대학교,경북,사립,대학원,337,22,6.5,,,,7,6,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000119,위덕대학교,경북,사립,대학원,284,21,7.4,,,,5,6,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000140,포항공과대학교,경북,사립,대학원,1670,52,3.1,,,,3,3,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000146,한동대학교,경북,사립,대학원,417,18,4.3,,,,7,9,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000052,광신대학교,광주,사립,대학원,536,39,7.3,,,,6,8,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000176,광주대학교,광주,사립,대학원,499,34,6.8,,,,3,5,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000055,광주여자대학교,광주,사립,대학원,261,22,8.4,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000162,남부대학교,광주,사립,대학원,392,24,6.1,,,,3,4,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000187,송원대학교,광주,사립,대학원,90,10,11.1,,,,1,1,Y,2026-08-15T04:17:46.259Z
2019,graduate,0000127,조선대학교,광주,사립,대학원,1788,143,8,,,,8,9,Y,2026-08-15T04:17:46.259Z
