year,half,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,consolidated_at
2020,상반기,대학교,사립,대학,경기,기존,0000109,안양대학교,2,4524,0,4810,4503,307,106.32,99.54,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000343,여주대학교,1,5245,216,5357,4471,886,106.52,88.9,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000341,연성대학교,1,5710,0,6030,5350,680,105.6,93.7,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000350,오산대학교,1,4590,0,5158,4450,708,112.37,96.95,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000115,용인대학교,1,5656,0,6240,5538,702,110.33,97.91,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000559,용인예술과학대학교,1,3836,0,3902,3582,320,101.72,93.38,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000394,웅지세무대학교,1,1797,0,1103,1081,22,61.38,60.16,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000355,유한대학교,1,4540,0,4856,4409,447,106.96,97.11,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000358,장안대학교,1,5514,0,5535,5075,460,100.38,92.04,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000130,중앙승가대학교,1,480,0,147,139,8,30.63,28.96,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000139,차의과학대학교,1,2052,0,2281,2107,174,111.16,102.68,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000374,청강문화산업대학교,1,3500,0,3842,3443,399,109.77,98.37,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000136,칼빈대학교,1,368,0,578,320,258,157.07,86.96,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000138,평택대학교,1,3420,0,3854,3277,577,112.69,95.82,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,경기,기존,0000568,한경대학교,1,4766,0,5208,4757,451,109.27,99.81,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경기,기존,0000391,한국관광대학교,1,1860,0,1973,1771,202,106.08,95.22,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,국립,전문대학,경기,폐교,0000248,한국복지대학교,1,633,0,667,572,95,105.37,90.36,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000562,한국산업기술대학교,1,5520,0,6799,5537,1262,123.17,100.31,2026-08-07T09:07:29.731Z
2020,상반기,산업대학,사립,대학,경기,폐교,0000214,한국산업기술대학교(산업대),1,0,0,0,0,0,0,0,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경기,기존,0000479,한국폴리텍 I 대학,1,860,0,910,834,76,105.81,96.98,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경기,기존,0000548,한국폴리텍 II 대학,1,670,0,700,609,91,104.48,90.9,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000144,한국항공대학교,1,3335,0,3963,3476,487,118.83,104.23,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,폐교,0000175,한북대학교,1,0,0,0,0,0,0,0,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000151,한세대학교,1,2288,0,2624,2378,246,114.69,103.93,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000152,한신대학교,1,4703,0,5267,4830,437,111.99,102.7,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000153,한양대학교,2,18928,0,24885,19601,5284,131.47,103.56,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경기,기존,0000156,협성대학교,1,4052,0,4152,3752,400,102.47,92.6,2026-08-07T09:07:29.731Z
2020,상반기,기능대학,사립,전문대학,경기,기존,0000516,ICT폴리텍대학,1,320,0,307,287,20,95.94,89.69,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,사립,전문대학,경남,기존,0000251,거제대학교,1,1196,0,1181,968,213,98.75,80.94,2026-08-07T09:07:29.731Z
2020,상반기,대학교,국립,대학,경남,폐교,0000026,경남과학기술대학교,1,4767,0,5032,4801,231,105.56,100.71,2026-08-07T09:07:29.731Z
2020,상반기,대학교,사립,대학,경남,기존,0000040,경남대학교,1,11569,0,11147,10427,720,96.35,90.13,2026-08-07T09:07:29.731Z
2020,상반기,전문대학,공립,전문대학,경남,기존,0000242,경남도립거창대학,1,892,0,856,848,8,95.96,95.07,2026-08-07T09:07:29.731Z
