year,school_code_std,school_name,school_division,school_kind,region,estb,school_funds_carryover,school_funds_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,uploaded_at
2020,0000125,서울신학대학교,대학,대학교,경기,사립,2615250,8327157,236652,,11179059,19630027,56.9,2026-08-01T02:42:38.332Z
2020,0000126,서울여자대학교,대학,대학교,서울,사립,2851060,47361191,3218667,,53430918,53089895,100.6,2026-08-01T02:42:38.332Z
2020,0000127,서울장신대학교,대학,대학교,경기,사립,218303,602486,22250,,843039,5897008,14.3,2026-08-01T02:42:38.332Z
2020,0000205,서울한영대학교,대학,대학교,서울,사립,-737640,,345,,-737295,6045081,-12.2,2026-08-01T02:42:38.332Z
2020,0000128,서원대학교,대학,대학교,충북,사립,4958654,28931650,1898293,776244,36564842,44583303,82,2026-08-01T02:42:38.332Z
2020,0000129,선문대학교,대학,대학교,충남,사립,2355548,35419600,3479921,,41255069,68914909,59.9,2026-08-01T02:42:38.332Z
2020,0000131,성결대학교,대학,대학교,경기,사립,1302927,49119384,906521,,51328832,38666495,132.7,2026-08-01T02:42:38.332Z
2020,0000132,성공회대학교,대학,대학교,서울,사립,1522120,3199267,1213116,551243,6485747,17041987,38.1,2026-08-01T02:42:38.332Z
2020,0000133,성균관대학교,대학,대학교,서울,사립,44069223,283056914,-19502211,993940,308617866,271257112,113.8,2026-08-01T02:42:38.332Z
2020,0000136,성신여자대학교,대학,대학교,서울,사립,3819405,56828706,4472752,1000000,66120863,75745580,87.3,2026-08-01T02:42:38.332Z
2020,0000137,세명대학교,대학,대학교,충북,사립,1407768,131090051,8847361,,141345180,52045574,271.6,2026-08-01T02:42:38.332Z
2020,0000138,세종대학교,대학,대학교,서울,사립,468225,96806173,9851473,4000000,111125871,120201796,92.4,2026-08-01T02:42:38.332Z
2020,0000092,세한대학교,대학,대학교,전남,사립,1219752,21188393,1086966,,23495111,21975288,106.9,2026-08-01T02:42:38.332Z
