school_code_std,road_address,lot_address,lng,lat,sido,sigungu,geocoded_at
0000074,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",서울특별시 노원구 월계동 447-1,127.05881566923324,37.62013714687011,서울특별시,노원구,2026-08-01T20:12:16.527Z
0000075,"전남광주통합특별시 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",전남광주통합특별시 나주시 남평읍 남석리 산 69-1,126.86424900650556,35.01509243838859,전남광주통합특별시,나주시,2026-08-01T20:12:16.527Z
0000076,전남광주통합특별시 광산구 광주여대길 40 (산정동),전남광주통합특별시 광산구 산정동 산 105-1,126.79640857128581,35.16316587063491,전남광주통합특별시,광산구,2026-08-01T20:12:16.527Z
0000078,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",서울특별시 성북구 정릉동 853-12,126.99868889098005,37.610050889429544,서울특별시,성북구,2026-08-01T20:12:16.527Z
0000079,서울특별시 강서구 까치산로24길 47 (화곡동),서울특별시 강서구 화곡동 953-1,126.85413465347227,37.548669054022156,서울특별시,강서구,2026-08-01T20:12:16.527Z
0000080,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",충청북도 음성군 감곡면 왕장리 85-5,127.64187083878215,37.12825437973703,충청북도,음성군,2026-08-01T20:12:16.527Z
0000081,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",충청남도 천안시 서북구 쌍용동 456,127.11854637419894,36.79552443920029,충청남도,천안시,2026-08-01T20:12:16.527Z
0000082,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교)",경기도 용인시 기흥구 마북동 655,127.12843229915633,37.318038794429754,경기도,용인시,2026-08-01T20:12:16.527Z
0000084,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",경상북도 경산시 진량읍 내리리 15,128.8425529147892,35.903973449336156,경상북도,경산시,2026-08-01T20:12:16.527Z
0000087,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)",경상북도 칠곡군 가산면 다부리 861,128.5094840925224,36.03218258544183,경상북도,칠곡군,2026-08-01T20:12:16.527Z
0000088,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)",경상북도 경산시 하양읍 금락리 308-5,128.80232594559692,35.91415467692576,경상북도,경산시,2026-08-01T20:12:16.527Z
0000092,"전남광주통합특별시 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교)",전남광주통합특별시 영암군 삼호읍 산호리 105-5,126.48301388331485,34.74559116742326,전남광주통합특별시,영암군,2026-08-01T20:12:16.527Z
0000093,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)",경상북도 경산시 백천동 137,128.74441639316683,35.80436957106961,경상북도,경산시,2026-08-01T20:12:16.527Z
0000094,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)",세종특별자치시  전의면 신방리 325,127.19313166025049,36.655057462682116,,,2026-08-01T20:12:16.527Z
0000095,"대전광역시 동구 대학로 62 (용운동, 대전대학교)",대전광역시 동구 용운동 96-3,127.46124686737987,36.33638164812804,대전광역시,동구,2026-08-01T20:12:16.527Z
0000097,"경기도 포천시 호국로 1007 (선단동, 대진대학교)",경기도 포천시 선단동 산 11-1,127.15896485428526,37.86589187728765,경기도,포천시,2026-08-01T20:12:16.527Z
0000098,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)",서울특별시 은평구 신사동 1-19,126.9121927242796,37.600757038445394,서울특별시,은평구,2026-08-01T20:12:16.527Z
0000099,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",서울특별시 도봉구 쌍문동 419,127.01705646155571,37.6511759142339,서울특별시,도봉구,2026-08-01T20:12:16.527Z
0000100,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",서울특별시 중구 장충동2가 192-5,127.00255894904652,37.55734562943239,서울특별시,중구,2026-08-01T20:12:16.527Z
0000101,경상북도 경주시 동대로 123(석장동),경상북도 경주시 석장동 707,129.19116080380047,35.86333766909903,경상북도,경주시,2026-08-01T20:12:16.527Z
0000102,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",서울특별시 성북구 하월곡동 73-96,127.04123760643732,37.60588176742441,서울특별시,성북구,2026-08-01T20:12:16.527Z
0000103,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)",부산광역시 사상구 주례동 85-1,129.00750538303805,35.14350230875934,부산광역시,사상구,2026-08-01T20:12:16.527Z
