year,cohort,school_rep_code,school_rep_name,region,estb,school_division,edu_carryover,edu_endowment,industry_carryover,industry_endowment,total_funds,tuition_revenue,fund_secure_rate,campus_count,has_alimi,updated_at
2020,university,0000042,대구한의대학교,경북,사립,대학,4911668.379999999,9699576.255,3520323.4780000006,0,18131568.113,49198346.28,36.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000065,대신대학교,경북,사립,대학,492962.81799999985,1148987.692,0,0,1641950.5099999998,3634566.22,45.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000076,동양대학교,경북,사립,대학,-7615435.676999999,0,897412.2289999999,0,-6718023.447999999,26398333.51,-25.4,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000111,영남대학교,경북,사립,대학,20905815.10000001,131876988.7,17761352.62,635.16,170544791.58,170120987.3,100.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000112,영남신학대학교,경북,사립,대학,246484.13899999997,364202.754,0,0,610686.8929999999,4314826.971,14.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000119,위덕대학교,경북,사립,대학,511776.5889999997,2335897.832,402282.75,100000,3349957.1709999996,20582160.27,16.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000140,포항공과대학교,경북,사립,대학,43898995.690000005,90524288.72,32479568.229999997,45282000.058,212184852.69799998,23776146.5,892.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000146,한동대학교,경북,사립,대학,4595195.990000002,8127643.802,2980110.0989999995,73300,15776249.891000003,31647906.04,49.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000052,광신대학교,광주,사립,대학,-68789.46799999988,4844.208,0,0,-63945.25999999988,5515697.34,-1.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000176,광주대학교,광주,사립,대학,2184829.4800000004,13106632.85,2709466.237,0,18000928.567,44202213.85,40.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000055,광주여자대학교,광주,사립,대학,2563529.1449999996,13367000,504081.495,0,16434610.639999999,24667440.93,66.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000162,남부대학교,광주,사립,대학,7089199.479000001,11030530.08,372661.18999999994,0,18492390.749,21387951.33,86.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000187,송원대학교,광주,사립,대학,734201.784,0,87875.39599999995,0,822077.1799999999,18651519.03,4.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000127,조선대학교,광주,사립,대학,5924230.75,63016357.350999996,17652585.36,0,86593173.461,145566169.6,59.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000157,호남대학교,광주,사립,대학,19440101.680000003,38331970.094,2687201.37,0,60459273.144,48697699.31,124.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000158,호남신학대학교,광주,사립,대학,1462180.3,1045886.024,0,0,2508066.324,5426029.324,46.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000048,계명대학교,대구,사립,대학,12264173.049999997,230617219.7,12486928.484000001,270000,255638321.234,163092513.7,156.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000067,대전대학교,대전,사립,대학,6552125.640000001,20290434.11,4055779.0769999996,0,30898338.827,68080580.39,45.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000182,대전신학대학교,대전,사립,대학,-809574.075,0,0,0,-809574.075,1025169.167,-79,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000080,목원대학교,대전,사립,대학,1715175.5500000007,3973605.577,4370792.353,305000,10364573.48,56116572.73,18.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000081,배재대학교,대전,사립,대학,1797869.1000000015,21506879.09,3165896.103,500,26471144.293,57936664.59,45.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000184,우송대학교,대전,사립,대학,4728379.93,26738048.56,1556465.4,0,33022893.889999997,72726545.89,45.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000120,을지대학교,대전,사립,대학,11802615.969999999,144142547.4,5993061.806,37090.24,161975315.416,42352121.33,382.4,3,Y,2026-08-15T06:00:43.635Z
2020,university,0000551,한국침례신학대학교,대전,사립,대학,980086.7659999998,25994758.55,0,0,26974845.316,11679117.84,231,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000145,한남대학교,대전,사립,대학,4553870.969999999,9181838.718,3030568.871,0,16766278.558999998,84485082.32,19.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000043,경성대학교,부산,사립,대학,2825248.4400000013,25674059.57,3392574.5390000003,0,31891882.549000002,82234747.23,38.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000050,고신대학교,부산,사립,대학,-801022.8600000013,3645066.327,618749.404,0,3462792.870999999,29690495.26,11.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000180,동명대학교,부산,사립,대학,3836554.6300000027,27143247.58,5498987.1680000005,0,36478789.378,52533682.72,69.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000073,동서대학교,부산,사립,대학,6820499.43,32854534.11,752592.2280000001,0,40427625.768,67662502.76,59.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000075,동아대학교,부산,사립,대학,6813366.419999987,53901506.51,11678472.81,0,72393345.73999998,138086062.4,52.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000077,동의대학교,부산,사립,대학,2228765.339999996,10504140.55,7699421.458000001,0,20432327.347999997,101102346.3,20.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000082,부산가톨릭대학교,부산,사립,대학,2472204.807,25588137.96,2755806.3419999997,368000,31184149.109,26170761.72,119.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000083,부산외국어대학교,부산,사립,대학,4295507.329999998,5530483.72,2291414.82,80000,12197405.869999997,49311188.29,24.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000106,신라대학교,부산,사립,대학,2718656.4400000013,12220501.64,838811.4579999999,0,15777969.538000003,56650737.02,27.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000035,감리교신학대학교,서울,사립,대학,2124841.6289999997,8699177.321,17432.716,0,10841451.666,9013573.55,120.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000037,건국대학교,서울,사립,대학,7300025.099999994,87897838.922,28593459.430000003,6990109.244,130781432.69600001,232698112.1,56.2,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000047,경희대학교,서울,사립,대학,9005975.608000018,112617269,38048853.35999999,5109630,164781727.968,289984318.4,56.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000049,고려대학교,서울,사립,대학,22191817.621000025,328875393.74,66605357.599999994,43359.71,417715928.67100006,352941598.1,118.4,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000053,광운대학교,서울,사립,대학,4176519.6199999973,22073839.54,9772934.841,32257,36055551.000999995,76370613.3,47.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000056,국민대학교,서울,사립,대학,2822367.759999998,159054871.1,-7030300.85,21184155.22,176031093.23,151941941.7,115.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000070,덕성여자대학교,서울,사립,대학,836622.6900000013,74599616.914,2925406.012,0,78361645.616,41306777.17,189.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000071,동국대학교,서울,사립,대학,8083557.694000011,88822474.65,27220460.049999997,1080350,125206842.39400001,214686985.9,58.3,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000072,동덕여자대학교,서울,사립,대학,1736507.379999999,223671863.6,1159517.428,250417.871,226818306.27899998,52311935.33,433.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000084,삼육대학교,서울,사립,대학,1828988.039999999,21840190.639,1763182.659,0,25432361.338,46201973.16,55,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000085,상명대학교,서울,사립,대학,5507932.659999996,26138201.54,8913259.125999998,500000,41059393.32599999,107670378.7,38.1,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000087,서강대학교,서울,사립,대학,3196636,50251343.8,5631518.84,186588.669,59266087.309,102451524,57.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000088,서경대학교,서울,사립,대학,2634748.91,15124756.65,1353414.111,0,19112919.671000004,49019921.07,39,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000069,서울기독대학교,서울,사립,대학,0,0,12458.268,0,12458.268,0,,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000091,서울여자대학교,서울,사립,대학,2851059.9899999984,47361190.66,3218666.8549999995,0,53430917.50499999,53089895.47,100.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000539,서울한영대학교,서울,사립,대학,-737640.2109999999,0,344.769,0,-737295.4419999999,6045081.03,-12.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000096,성공회대학교,서울,사립,대학,1522120.1179999998,3199267.36,1213116.042,377000,6311503.52,17041987.23,37,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000097,성균관대학교,서울,사립,대학,44069223.2,283056913.65,-19502211.099999994,20040024,327663949.75,271257112.1,120.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000098,성신여자대학교,서울,사립,대학,3819404.6899999976,56828705.92,4472751.898,0,65120862.508,75745580.17,86,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000100,세종대학교,서울,사립,대학,468224.62999999523,96806172.96,9851472.960000005,35175,107161045.55,120201796.1,89.2,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000103,숙명여자대학교,서울,사립,대학,2623717.410000004,191703217.1,19022302.720999997,1543030.88,214892268.11099997,103145047.7,208.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000105,숭실대학교,서울,사립,대학,20701409.710000005,97714053.516,10718009.57,0,129133472.796,135433853.5,95.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000110,연세대학교,서울,사립,대학,21622785.099999994,630596663.75,30440559.799999982,17885333.275,700545341.925,391949729.3,178.7,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000121,이화여자대학교,서울,사립,대학,8874401.650000006,635004427.4000001,34110031.45,810764.985,678799625.4850001,201722872.4,336.5,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000125,장로회신학대학교,서울,사립,대학,350881.1040000003,35787056.04,0,0,36137937.144,16144372.56,223.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000129,중앙대학교,서울,사립,대학,17162021.099999994,111842442.00400001,16038325.630000003,1004530,146047318.734,261283131.8,55.9,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000133,총신대학교,서울,사립,대학,5741829.469999999,39520534.01,112423.46600000001,0,45374786.945999995,25697682.35,176.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000134,추계예술대학교,서울,사립,대학,-1010177.3659999995,156577.546,15891.641,0,-837708.1789999995,10830626.28,-7.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000525,케이씨대학교,서울,사립,대학,324342.5839999998,2075130.588,98360.14799999999,0,2497833.32,9976511.314,25,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000142,한국성서대학교,서울,사립,대학,19864.603999999817,224068.858,47853.016,0,291786.4779999998,8167634.5,3.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000143,한국외국어대학교,서울,사립,대학,1937855.007999995,11789506.48,5387349.58,503800,19618511.067999996,147333499,13.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000150,한성대학교,서울,사립,대학,4804612.870000001,15471109.23,3424661.277,0,23700383.377,55508499.91,42.7,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000153,한양대학교,서울,사립,대학,27909954.400000006,173281215.8,17735054.900000006,32817468.1,251743693.20000002,327516820.7,76.9,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000160,홍익대학교,서울,사립,대학,39918928.3,718409656.8,8421611.690000001,0,766750196.79,195991497.1,391.2,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000066,대전가톨릭대학교,세종,사립,대학,179758.581,3159419.865,0,0,3339178.4460000005,444970,750.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000117,울산대학교,울산,사립,대학,11706147.259999998,51006342.558,17764231.009999998,0,80476720.828,102326754.5,78.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000123,인천가톨릭대학교,인천,사립,대학,422783.3909999998,4652065.126,221923.562,0,5296772.079,6549511.365,80.9,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000124,인하대학교,인천,사립,대학,3643590.3599999994,39725374.92,8599091.209999997,1014473.84,52982530.33,163868470.2,32.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000054,광주가톨릭대학교,전남,사립,대학,278817.813,20431350.64,0,0,20710168.453,0,,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000074,동신대학교,전남,사립,대학,3041500.6400000006,17664940.52,3708343.448,1430270.748,25845055.356,43864479.51,58.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000166,목포가톨릭대학교,전남,사립,대학,284526.50099999993,3879324.054,25959.339,0,4189809.894,3258564.166,128.6,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000064,세한대학교,전남,사립,대학,1219752.0380000006,21188392.834,1086965.907,0,23495110.779000003,21975288.44,106.9,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000114,영산선학대학교,전남,사립,대학,3151.4490000000005,0,0,0,3151.4490000000005,59000,5.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000190,초당대학교,전남,사립,대학,1475487.8780000005,30911400.32,1800.359999999986,0,32388688.558,19701845.18,164.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000186,한려대학교,전남,사립,대학,-10318431.026999999,0,12823.642,0,-10305607.384999998,2734816.18,-376.8,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000173,예수대학교,전북,사립,대학,76850.98399999994,0,83945.124,0,160796.10799999995,3693796.46,4.4,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000164,예원예술대학교,전북,사립,대학,73880.5350000002,0,1713.950999999999,0,75594.48600000021,16191202.67,0.5,2,Y,2026-08-15T06:00:43.635Z
2020,university,0000116,우석대학교,전북,사립,대학,5513862.239999998,6878161.207,3139758.321,250000,15781781.768,53833024.95,29.3,1,Y,2026-08-15T06:00:43.635Z
2020,university,0000118,원광대학교,전북,사립,대학,5611286.359999999,36157660.629999995,12947288.129999999,0,54716235.11999999,119006586.4,46,1,Y,2026-08-15T06:00:43.635Z
