year,school_code_std,school_name,school_division,school_kind,region,estb,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,uploaded_at
2020,0000666,서울과학종합대학원대학교,대학원대학,전문대학원,서울,사립,,86600,,86600,9494983,0.9,2026-08-01T05:16:30.222Z
2020,0000677,서울미디어대학원대학교,대학원대학,특수대학원,서울,사립,300000,136321,,436321,1072733,40.7,2026-08-01T05:16:30.222Z
2020,0000660,서울벤처대학원대학교,대학원대학,전문대학원,서울,사립,,2000,,2000,2259400,0.1,2026-08-01T05:16:30.222Z
2020,0000658,서울불교대학원대학교,대학원대학,전문대학원,서울,사립,,96828,,96828,1660846,5.8,2026-08-01T05:16:30.222Z
2020,0000653,서울사회복지대학원대학교,대학원대학,특수대학원,서울,사립,,7285,,7285,1239918,0.6,2026-08-01T05:16:30.222Z
2020,0000650,서울성경신학대학원대학교,대학원대학,전문대학원,서울,사립,139948,32052,,172000,475780,36.2,2026-08-01T05:16:30.222Z
2020,0000659,서울외국어대학원대학교,대학원대학,전문대학원,서울,사립,2375,57625,,60000,2941942,2,2026-08-01T05:16:30.222Z
2020,0000667,선학유피대학원대학교,대학원대학,전문대학원,경기,사립,1085683,117839,,1203522,429481,280.2,2026-08-01T05:16:30.222Z
2020,0000644,성산효대학원대학교,대학원대학,전문대학원,인천,사립,,76212,,76212,1353434,5.6,2026-08-01T05:16:30.222Z
2020,0000661,성서침례대학원대학교,대학원대학,전문대학원,경기,사립,1824,47176,,49000,202435,24.2,2026-08-01T05:16:30.222Z
2020,0000672,실천신학대학원대학교,대학원대학,전문대학원,경기,사립,4172,53828,,58000,325817,17.8,2026-08-01T05:16:30.222Z
2020,0000662,에스라성경대학원대학교,대학원대학,전문대학원,경기,사립,,57000,,57000,458945,12.4,2026-08-01T05:16:30.222Z
2020,0000651,예명대학원대학교,대학원대학,전문대학원,서울,사립,,36200,,36200,1268038,2.9,2026-08-01T05:16:30.222Z
2020,0000654,온석대학원대학교,대학원대학,전문대학원,경기,사립,,,,,902520,0,2026-08-01T05:16:30.222Z
2020,0000678,서울상담심리대학원대학교,대학원대학,전문대학원,서울,사립,,80899,,80899,1026416,7.9,2026-08-01T05:16:30.222Z
2020,0000645,원불교대학원대학교,대학원대학,전문대학원,전북,사립,340000,15868,,355868,182000,195.5,2026-08-01T05:16:30.222Z
2020,0000646,웨스트민스터신학대학원대학교,대학원대학,전문대학원,경기,사립,25680,70331,,96011,3025523,3.2,2026-08-01T05:16:30.222Z
2020,0002668,제네바신학대학원대학교,대학원대학,전문대학원,경기,사립,772389,37447,,809836,45500,1779.9,2026-08-01T05:16:30.222Z
2020,0000680,주안대학원대학교,대학원대학,전문대학원,인천,사립,571886,50896,,622782,415648,149.8,2026-08-01T05:16:30.222Z
2020,0002817,치유상담대학원대학교,대학원대학,전문대학원,서울,사립,100000,151800,,251800,1293420,19.5,2026-08-01T05:16:30.222Z
2020,0000679,한국상담대학원대학교,대학원대학,전문대학원,서울,사립,552569,125696,,678265,1162871,58.3,2026-08-01T05:16:30.222Z
2020,0000681,한국전력국제원자력대학원대학교,대학원대학,전문대학원,울산,사립,5501899,456699,,5958598,4168438,142.9,2026-08-01T05:16:30.222Z
2020,0000673,한림국제대학원대학교,대학원대학,특수대학원,서울,사립,4768,188748,139700,333216,2441714,13.6,2026-08-01T05:16:30.222Z
2020,0000676,한반도국제대학원대학교,대학원대학,특수대학원,서울,사립,50000,20299,,70299,247200,28.4,2026-08-01T05:16:30.222Z
2020,0000647,합동신학대학원대학교,대학원대학,전문대학원,경기,사립,660000,252702,,912702,2064285,44.2,2026-08-01T05:16:30.222Z
2020,0000648,횃불트리니티신학대학원대학교,대학원대학,전문대학원,서울,사립,10000,190000,,200000,2847591,7,2026-08-01T05:16:30.222Z
2020,0000410,가톨릭상지대학교,전문대학,전문대학,경북,사립,,33100,,33100,10294551,0.3,2026-08-01T05:16:30.222Z
2020,0000433,강동대학교,전문대학,전문대학,충북,사립,9554,55411,,64965,18757157,0.3,2026-08-01T05:16:30.222Z
2020,0000514,강릉영동대학교,전문대학,전문대학,강원,사립,,40000,,40000,15238042,0.3,2026-08-01T05:16:30.222Z
2020,0000548,강원관광대학교,전문대학,전문대학,강원,사립,,171706,,171706,4883366,3.5,2026-08-01T05:16:30.222Z
2020,0000412,거제대학교,전문대학,전문대학,경남,사립,,441001,,441001,7051627,6.3,2026-08-01T05:16:30.222Z
2020,0000560,경기과학기술대학교,전문대학,전문대학,경기,사립,49353,1387047,,1436400,28527406,5,2026-08-01T05:16:30.222Z
2020,0002640,경남정보대학교,전문대학,전문대학,부산,사립,236400,50000,,286400,39068377,0.7,2026-08-01T05:16:30.222Z
2020,0000416,경민대학교,전문대학,전문대학,경기,사립,5000,70000,,75000,28095777,0.3,2026-08-01T05:16:30.222Z
2020,0002641,경복대학교,전문대학,전문대학,경기,사립,,356765,,356765,39814871,0.9,2026-08-01T05:16:30.222Z
