school_code_std,school_name,main_branch,school_type,region,establishment,related_law,corp_name,school_status,school_name_en,road_address,lot_address,zip_code,founded_date,homepage,uploaded_at
0003157,한국폴리텍 VII 대학 진주캠퍼스,본교,기능대학,경남,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,KOREAPOLYTECHNICS JINJU CAMPUS,경상남도 진주시 모덕로 299(하대동) 한국폴리텍대학 진주캠퍼스,경상남도 진주시 하대동 105,52766,1977-04-21,jinju.kopo.ac.kr,2026-08-01T19:45:45.673Z
0003163,한국폴리텍 VII 대학 동부산캠퍼스,본교,기능대학,부산,사립,국민 평생 직업능력 개발법,한국폴리텍,기존,Korea Polytechnics Dongbusan Campus,부산광역시 기장군 정관읍 산단4로 2-69,부산광역시 기장군 정관읍 달산리 938-38,46027,1972-09-01,www.kopo.ac.kr/dongbusan,2026-08-01T19:45:45.673Z
0003183,태재대학교,본교,사이버대학(대학),서울,사립,고등교육법,태재학원,기존,TAEJAE UNIVERSITY,서울특별시 종로구 창덕궁5길 22-8 (원서동),서울특별시 종로구 원서동 9-9,03051,2023-09-01,www.taejae.ac.kr,2026-08-01T19:45:45.673Z
0003193,영산대학교(해운대),본교,대학교,부산,사립,고등교육법,성심학원,기존,Youngsan University,부산광역시 해운대구 반송순환로 142 (반송동) 영산대학교 해운대캠퍼스,부산광역시 해운대구 반송동 248,48015,2005-12-21,www.ysu.ac.kr,2026-08-01T19:45:45.673Z
0003194,영산대학교(양산),제2캠퍼스,대학교,경남,사립,고등교육법,성심학원,기존,Youngsan University,경상남도 양산시 주남로 288 (주남동) 영산대학교 양산캠퍼스,경상남도 양산시 주남동 982-4,50510,2005-12-21,www.ysu.ac.kr,2026-08-01T19:45:45.673Z
0003297,국립창원대학교(거창캠퍼스),제2캠퍼스,대학교,경남,국립,고등교육법,해당없음,기존,Changwon National University,경상남도 거창군 거창읍 거창대학로 72,경상남도 거창군 거창읍 김천리 164,50147,1996-03-01,www.changwon.ac.kr,2026-08-01T19:45:45.673Z
0003298,국립창원대학교(남해캠퍼스),제3캠퍼스,대학교,경남,국립,고등교육법,해당없음,기존,Changwon National University,경상남도 남해군 남해읍 화전로78번길 30,경상남도 남해군 남해읍 남변리 162,52422,1996-03-07,www.changwon.ac.kr,2026-08-01T19:45:45.673Z
0003312,국립목포대학교(담양캠퍼스),제2캠퍼스,대학교,전남광주,국립,고등교육법,해당없음,기존,Mokpo National University,전남광주통합특별시 담양군 담양읍 죽녹원로 152,전남광주통합특별시 담양군 담양읍 향교리 262-2,57337,1946-10-31,,2026-08-01T19:45:45.673Z
0003363,강원대학교,제3캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,Kangwon National University,강원특별자치도 강릉시 죽헌길 7 (지변동),강원특별자치도 강릉시 지변동 123,25457,2007-03-01,www.kangwon.ac.kr/,2026-08-01T19:45:45.673Z
0003364,강원대학교,제4캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,Kangwon National University,강원특별자치도 원주시 흥업면 남원로 150,강원특별자치도 원주시 흥업면 흥업리 7,26403,1970-03-01,www.kangwon.ac.kr/,2026-08-01T19:45:45.673Z
