school_code_std,school_name,estb,school_division,school_kind,region,crisis,no_accreditation,provisional_board,fund_shortage,uploaded_at
0000189,한국기술교육대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000191,한국성서대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000192,한국외국어대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000182,한국침례신학대학교,사립,대학,대학교,대전,,해당,,,2026-08-08T02:37:21.560Z
0000194,한국항공대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000195,한남대학교,사립,대학,대학교,대전,,,,,2026-08-08T02:37:21.560Z
0000196,한동대학교,사립,대학,대학교,경북,,,,,2026-08-08T02:37:21.560Z
0000197,한라대학교,사립,대학,대학교,강원,,,,,2026-08-08T02:37:21.560Z
0000198,한림대학교,사립,대학,대학교,강원,,,,,2026-08-08T02:37:21.560Z
0000199,한서대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000200,한성대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000201,한세대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000202,한신대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000203,한양대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000207,협성대학교,사립,대학,대학교,경기,,,,,2026-08-08T02:37:21.560Z
0000208,호남대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000209,호남신학대학교,사립,대학,대학교,광주,,,,,2026-08-08T02:37:21.560Z
0000211,호서대학교,사립,대학,대학교,충남,,,,,2026-08-08T02:37:21.560Z
0000212,홍익대학교,사립,대학,대학교,서울,,,,,2026-08-08T02:37:21.560Z
0000233,화성의과학대학교,사립,대학,대학교,경기,,해당,,,2026-08-08T02:37:21.560Z
0000284,청운대학교,사립,대학,산업대학,충남,,,,,2026-08-08T02:37:21.560Z
0000282,호원대학교,사립,대학,산업대학,전북,,,,,2026-08-08T02:37:21.560Z
0000410,가톨릭상지대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000433,강동대학교,사립,전문대학,전문대학,충북,,,,,2026-08-08T02:37:21.560Z
0000514,강릉영동대학교,사립,전문대학,전문대학,강원,,,,,2026-08-08T02:37:21.560Z
0000412,거제대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000560,경기과학기술대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0002640,경남정보대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000416,경민대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0002641,경복대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000456,경북과학대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000438,경북보건대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0002642,경북전문대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000422,경인여자대학교,사립,전문대학,전문대학,인천,,,,,2026-08-08T02:37:21.560Z
0000425,계명문화대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0000426,계원예술대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000428,광양보건대학교,사립,전문대학,전문대학,전남,해당,해당,해당,해당,2026-08-08T02:37:21.560Z
0000429,광주보건대학교,사립,전문대학,전문대학,광주,,,,,2026-08-08T02:37:21.560Z
0000430,구미대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000549,국제대학교,사립,전문대학,전문대학,경기,,,,해당,2026-08-08T02:37:21.560Z
0002971,군산간호대학교,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0000432,군장대학교,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0002972,기독간호대학교,사립,전문대학,전문대학,광주,,,,,2026-08-08T02:37:21.560Z
0000440,김포대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000569,김해대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000435,나주대학교,사립,전문대학,전문대학,전남,해당,해당,,해당,2026-08-08T02:37:21.560Z
0000441,농협대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000442,대경대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000443,대구공업대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0000446,대구과학대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0000444,대구보건대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0000546,대덕대학교,사립,전문대학,전문대학,대전,,,해당,,2026-08-08T02:37:21.560Z
0000447,대동대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000448,대림대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000449,대원대학교,사립,전문대학,전문대학,충북,,,,,2026-08-08T02:37:21.560Z
0000453,대전과학기술대학교,사립,전문대학,전문대학,대전,,,,,2026-08-08T02:37:21.560Z
0000451,대전보건대학교,사립,전문대학,전문대학,대전,,,,,2026-08-08T02:37:21.560Z
0000460,동강대학교,사립,전문대학,전문대학,광주,,,,,2026-08-08T02:37:21.560Z
0000457,동남보건대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000450,동서울대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000461,동아방송예술대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000462,동아보건대학교,사립,전문대학,전문대학,전남,,,,,2026-08-08T02:37:21.560Z
0000463,동양미래대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000509,동원과학기술대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000465,동원대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000466,동의과학대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000469,두원공과대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000470,마산대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000473,명지전문대학,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000474,목포과학대학교,사립,전문대학,전문대학,전남,,,,,2026-08-08T02:37:21.560Z
0000475,문경대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000476,배화여자대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000543,백석문화대학교,사립,전문대학,전문대학,충남,,,,,2026-08-08T02:37:21.560Z
0000477,백제예술대학교,사립,전문대학,전문대학,전북,,,,,2026-08-08T02:37:21.560Z
0000479,부산경상대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000481,부산과학기술대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000467,부산보건대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000480,부산여자대학교,사립,전문대학,전문대학,부산,,,,,2026-08-08T02:37:21.560Z
0000561,부산예술대학교,사립,전문대학,전문대학,부산,해당,해당,,해당,2026-08-08T02:37:21.560Z
0000482,부천대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000483,삼육보건대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0002646,서영대학교,사립,전문대학,전문대학,광주,,,,,2026-08-08T02:37:21.560Z
0002973,서울여자간호대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000489,서울예술대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000490,서일대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000566,서정대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000550,선린대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0002647,성운대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000515,세경대학교,사립,전문대학,전문대학,강원,,,,,2026-08-08T02:37:21.560Z
0000567,송곡대학교,사립,전문대학,전문대학,강원,,,,,2026-08-08T02:37:21.560Z
0000564,송호대학교,사립,전문대학,전문대학,강원,,해당,,해당,2026-08-08T02:37:21.560Z
0002649,수성대학교,사립,전문대학,전문대학,대구,,,,,2026-08-08T02:37:21.560Z
0000497,수원과학대학교,사립,전문대학,전문대학,경기,,해당,,,2026-08-08T02:37:21.560Z
0000496,수원여자대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000498,순천제일대학교,사립,전문대학,전문대학,전남,,,,,2026-08-08T02:37:21.560Z
0000500,숭의여자대학교,사립,전문대학,전문대학,서울,,,,,2026-08-08T02:37:21.560Z
0000501,신구대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000502,신성대학교,사립,전문대학,전문대학,충남,,,,,2026-08-08T02:37:21.560Z
0000506,신안산대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000454,아주자동차대학교,사립,전문대학,전문대학,충남,,,,,2026-08-08T02:37:21.560Z
0002650,안동과학대학교,사립,전문대학,전문대학,경북,,,,,2026-08-08T02:37:21.560Z
0000507,안산대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0000510,여주대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0002651,연성대학교,사립,전문대학,전문대학,경기,,,,,2026-08-08T02:37:21.560Z
0002652,연암공과대학교,사립,전문대학,전문대학,경남,,,,,2026-08-08T02:37:21.560Z
0000512,연암대학교,사립,전문대학,전문대학,충남,,,,,2026-08-08T02:37:21.560Z
