year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2025,상반기,교육대학,국립,,경기,기존,0000257,경인교육대학교_제2캠퍼스,0,0,1161,1060,101,0,0,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000064,경일대학교,6280,0,6507,5653,854,103.6,90,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000064,경일대학교,6182,0,6930,5920,1010,112.1,95.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000066,경희대학교,19903,0,23020,17782,5238,115.7,89.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000066,경희대학교,20016,0,25573,20048,5525,127.8,100.2,2026-08-07T09:07:29.509Z
2024,하반기,사이버대학(대학),사립,,서울,기존,0000318,경희사이버대학교,9200,0,10428,7239,3189,113.3,78.7,2026-08-07T09:07:29.509Z
2025,상반기,사이버대학(대학),사립,,서울,기존,0000318,경희사이버대학교,9200,0,10615,7295,3320,115.4,79.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,대구,기존,0000068,계명대학교,18676,0,18840,16431,2409,100.9,88,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,대구,기존,0000068,계명대학교,18704,0,20491,17957,2534,109.6,96,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,세종,기존,0000070,고려대학교(세종)_분교,5741,0,5906,4963,943,102.9,86.4,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,세종,기존,0000070,고려대학교(세종)_분교,5903,0,6714,5692,1022,113.7,96.4,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000069,고려대학교,15906,0,18868,14247,4621,118.6,89.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000069,고려대학교,16159,0,21772,16526,5246,134.7,102.3,2026-08-07T09:07:29.509Z
2024,하반기,사이버대학(대학),사립,,서울,기존,0000328,고려사이버대학교,7378,0,9176,6758,2418,124.4,91.6,2026-08-07T09:07:29.509Z
2025,상반기,사이버대학(대학),사립,,서울,기존,0000328,고려사이버대학교,7378,0,10301,7519,2782,139.6,101.9,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,부산,기존,0000071,고신대학교,3569,0,2839,2748,91,79.5,77,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,부산,기존,0000071,고신대학교,3436,0,3263,3153,110,95,91.8,2026-08-07T09:07:29.509Z
2024,하반기,교육대학,국립,,충남,기존,0000251,공주교육대학교,1416,0,1320,1226,94,93.2,86.6,2026-08-07T09:07:29.509Z
2025,상반기,교육대학,국립,,충남,기존,0000251,공주교육대학교,1374,0,1365,1275,90,99.3,92.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,광주,기존,0000073,광신대학교,471,0,421,404,17,89.4,85.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,광주,기존,0000073,광신대학교,454,0,436,398,38,96,87.7,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,서울,기존,0000074,광운대학교,6899,0,7656,6025,1631,111,87.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,서울,기존,0000074,광운대학교,7038,0,8414,6723,1691,119.6,95.5,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,전남,기존,0000075,광주가톨릭대학교,160,0,57,57,0,35.6,35.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,전남,기존,0000075,광주가톨릭대학교,160,0,61,61,0,38.1,38.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,특별법법인,,광주,기존,0000381,광주과학기술원,800,0,793,722,71,99.1,90.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,특별법법인,,광주,기존,0000381,광주과학기술원,800,0,920,830,90,115,103.8,2026-08-07T09:07:29.509Z
2024,하반기,교육대학,국립,,광주,기존,0000252,광주교육대학교,1304,0,1242,1168,74,95.2,89.6,2026-08-07T09:07:29.509Z
2025,상반기,교육대학,국립,,광주,기존,0000252,광주교육대학교,1265,0,1257,1178,79,99.4,93.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,광주,기존,0000231,광주대학교,5785,0,4964,4521,443,85.8,78.2,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,광주,기존,0000231,광주대학교,5412,0,4900,4479,421,90.5,82.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,광주,기존,0000076,광주여자대학교,3634,0,3021,2752,269,83.1,75.7,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,광주,기존,0000076,광주여자대학교,3611,0,3239,2978,261,89.7,82.5,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,강원,기존,0000001,국립강릉원주대학교,5157,65,4476,4122,354,87.9,81,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,강원,기존,0000001,국립강릉원주대학교,5057,65,4723,4369,354,94.6,87.5,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,강원,기존,0000002,국립강릉원주대학교_제2캠퍼스,1964,28,1923,1783,140,99.3,92.1,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,강원,기존,0000002,국립강릉원주대학교_제2캠퍼스,1961,28,1958,1831,127,101.3,94.7,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,경북,기존,0000021,국립경국대학교,5546,0,4395,4151,244,79.2,74.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,경북,기존,0000021,국립경국대학교,5629,0,4602,4372,230,81.8,77.7,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,충남,기존,0000008,국립공주대학교,11232,0,11490,9869,1621,102.3,87.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,충남,기존,0000008,국립공주대학교,11292,0,12357,10618,1739,109.4,94,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,전북,기존,0000009,국립군산대학교,6876,0,5780,5265,515,84.1,76.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,전북,기존,0000009,국립군산대학교,6864,0,6221,5719,502,90.6,83.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,경북,기존,0000010,국립금오공과대학교,4908,0,4625,4211,414,94.2,85.8,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,경북,기존,0000010,국립금오공과대학교,4934,0,4895,4491,404,99.2,91,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,전남,기존,0000011,국립목포대학교,6194,0,5317,4831,486,85.8,78,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,전남,기존,0000011,국립목포대학교,6072,0,5664,5172,492,93.3,85.2,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,전남,기존,0000012,국립목포해양대학교,2736,0,2450,2331,119,89.5,85.2,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,전남,기존,0000012,국립목포해양대학교,2737,0,2646,2501,145,96.7,91.4,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,부산,기존,0000013,국립부경대학교,13149,0,14033,12268,1765,106.7,93.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,부산,기존,0000013,국립부경대학교,13177,0,15131,13194,1937,114.8,100.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,전남,기존,0000020,국립순천대학교,6554,0,5949,5436,513,90.8,82.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,전남,기존,0000020,국립순천대학교,6466,0,6352,5805,547,98.2,89.8,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,경남,기존,0000028,국립창원대학교,7021,0,6939,6321,618,98.8,90,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,경남,기존,0000028,국립창원대학교,7009,0,7401,6749,652,105.6,96.3,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,충북,기존,0000034,국립한국교통대학교,7664,0,7422,6695,727,96.8,87.4,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,충북,기존,0000034,국립한국교통대학교,7657,0,7950,7167,783,103.8,93.6,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,부산,기존,0000033,국립한국해양대학교,5488,0,5911,5355,556,107.7,97.6,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,부산,기존,0000033,국립한국해양대학교,5488,0,6326,5746,580,115.3,104.7,2026-08-07T09:07:29.509Z
2024,하반기,대학교,국립,,대전,기존,0000039,국립한밭대학교,7558,0,7651,6782,869,101.2,89.7,2026-08-07T09:07:29.509Z
2025,상반기,대학교,국립,,대전,기존,0000039,국립한밭대학교,7613,0,8243,7333,910,108.3,96.3,2026-08-07T09:07:29.509Z
