year,school_code_std,school_name,school_division,school_kind,region,estb,tuition_revenue,school_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,uploaded_at
2020,0000125,서울신학대학교,대학,대학교,경기,사립,19630027.29,31998751.57,816743.02,32815494.59,59.8,2026-08-01T04:06:42.106Z
2020,0000126,서울여자대학교,대학,대학교,서울,사립,53089895.47,81649406.09,7687308.261,89336714.35,59.4,2026-08-01T04:06:42.106Z
2020,0000127,서울장신대학교,대학,대학교,경기,사립,5897008,8589673.683,37026.463,8626700.146,68.4,2026-08-01T04:06:42.106Z
2020,0000205,서울한영대학교,대학,대학교,서울,사립,6045081.03,9224414.429,0.564,9224414.993,65.5,2026-08-01T04:06:42.106Z
2020,0000128,서원대학교,대학,대학교,충북,사립,44583303.27,68116753.14,15865836.38,83982589.52,53.1,2026-08-01T04:06:42.106Z
2020,0000129,선문대학교,대학,대학교,충남,사립,68914908.57,116716586.8,17874626.87,134591213.6,51.2,2026-08-01T04:06:42.106Z
2020,0000131,성결대학교,대학,대학교,경기,사립,38666495.45,57602820.03,10724814.43,68327634.46,56.6,2026-08-01T04:06:42.106Z
2020,0000132,성공회대학교,대학,대학교,서울,사립,17041987.23,26874838.15,2750192.983,29625031.13,57.5,2026-08-01T04:06:42.106Z
2020,0000133,성균관대학교,대학,대학교,서울,사립,271257112.1,557930155.1,331396343.3,889326498.4,30.5,2026-08-01T04:06:42.106Z
2020,0000136,성신여자대학교,대학,대학교,서울,사립,75745580.17,107023856.1,9134197.056,116158053.2,65.2,2026-08-01T04:06:42.106Z
2020,0000137,세명대학교,대학,대학교,충북,사립,52045574.18,83244127.05,11248669.77,94492796.81,55.1,2026-08-01T04:06:42.106Z
2020,0000138,세종대학교,대학,대학교,서울,사립,120201796.1,173827996,78448230.5,252276226.5,47.6,2026-08-01T04:06:42.106Z
2020,0000092,세한대학교,대학,대학교,전남,사립,21975288.44,39532707.8,776443.944,40309151.74,54.5,2026-08-01T04:06:42.106Z
2020,0000243,송원대학교,대학,대학교,광주,사립,18651519.03,32365714.87,2980713.425,35346428.29,52.8,2026-08-01T04:06:42.106Z
2020,0000139,수원가톨릭대학교,대학,대학교,경기,사립,982570.751,9262462.949,0,0,0,2026-08-01T04:06:42.106Z
2020,0000140,수원대학교,대학,대학교,경기,사립,72285549.01,97599737.84,19625421.97,117225159.8,61.7,2026-08-01T04:06:42.106Z
2020,0000141,숙명여자대학교,대학,대학교,서울,사립,103145047.7,150187419.4,35169048.46,185356467.9,55.6,2026-08-01T04:06:42.106Z
2020,0000142,순천향대학교,대학,대학교,충남,사립,92226560.27,192989250.6,60507232.32,253496483,36.4,2026-08-01T04:06:42.106Z
2020,0000143,숭실대학교,대학,대학교,서울,사립,135433853.5,195181896.2,56986244.16,252168140.3,53.7,2026-08-01T04:06:42.106Z
2020,0000233,화성의과학대학교,대학,대학교,경기,사립,3869698.05,4355388.466,63633.547,4419022.013,87.6,2026-08-01T04:06:42.106Z
2020,0000144,신라대학교,대학,대학교,부산,사립,56650737.02,89424769.88,10410557.46,99835327.34,56.7,2026-08-01T04:06:42.106Z
2020,0002712,신한대학교,대학,대학교,경기,사립,57791757.95,80617049.16,8960269.406,89577318.56,64.5,2026-08-01T04:06:42.106Z
2020,0000145,아신대학교,대학,대학교,경기,사립,7304141,11873476.53,72307.018,11945783.54,61.1,2026-08-01T04:06:42.106Z
2020,0000146,아주대학교,대학,대학교,경기,사립,121505889.5,234627671.6,115718807.1,350346478.7,34.7,2026-08-01T04:06:42.106Z
2020,0000147,안양대학교,대학,대학교,경기,사립,38285129.34,54544387.97,10320446.05,64864834.02,59,2026-08-01T04:06:42.106Z
2020,0000149,연세대학교,대학,대학교,서울,사립,391949729.3,881506434,451948056.3,1333454490,29.4,2026-08-01T04:06:42.106Z
2020,0000151,영남대학교,대학,대학교,경북,사립,170120987.3,270459619.4,65718286.58,336177906,50.6,2026-08-01T04:06:42.106Z
2020,0000153,영남신학대학교,대학,대학교,경북,사립,4314826.971,7364371.555,30459.411,7394830.966,58.3,2026-08-01T04:06:42.106Z
2020,0003193,영산대학교(해운대),대학,대학교,부산,사립,37419225.15,66337898.01,7427178.543,73765076.55,50.7,2026-08-01T04:06:42.106Z
2020,0000155,영산선학대학교,대학,대학교,전남,사립,59000,1072498.255,0,0,0,2026-08-01T04:06:42.106Z
2020,0000228,예수대학교,대학,대학교,전북,사립,3693796.46,6158885.478,135135.075,6294020.553,58.7,2026-08-01T04:06:42.106Z
2020,0000218,예원예술대학교,대학,대학교,전북,사립,16191202.67,19437271.61,27509.796,19464781.4,83.2,2026-08-01T04:06:42.106Z
2020,0000156,용인대학교,대학,대학교,경기,사립,51595853,71792833.03,2305147.687,74097980.71,69.6,2026-08-01T04:06:42.106Z
2020,0000157,우석대학교,대학,대학교,전북,사립,53833024.95,81954222.55,17599851.95,99554074.5,54.1,2026-08-01T04:06:42.106Z
2020,0000240,우송대학교,대학,대학교,대전,사립,72726545.89,110652637.7,6064064.814,116716702.5,62.3,2026-08-01T04:06:42.106Z
2020,0000158,울산대학교,대학,대학교,울산,사립,102326754.5,220279530.1,80397743.12,300677273.2,34,2026-08-01T04:06:42.106Z
2020,0000159,원광대학교,대학,대학교,전북,사립,119006586.4,184521743.1,44304715.65,228826458.8,52,2026-08-01T04:06:42.106Z
2020,0000160,위덕대학교,대학,대학교,경북,사립,20582160.27,30208948.73,4692007.611,34900956.34,59,2026-08-01T04:06:42.106Z
2020,0000154,유원대학교,대학,대학교,충북,사립,25047224.95,38551706.14,3136048.285,41687754.42,60.1,2026-08-01T04:06:42.106Z
2020,0000161,을지대학교,대학,대학교,대전,사립,42352121.33,82476787.64,25351077.36,107827865,39.3,2026-08-01T04:06:42.106Z
2020,0000163,이화여자대학교,대학,대학교,서울,사립,201722872.4,299565854.5,113376392.9,412942247.4,48.9,2026-08-01T04:06:42.106Z
2020,0000164,인제대학교,대학,대학교,경남,사립,75343396.8,125582205,43262639.77,168844844.7,44.6,2026-08-01T04:06:42.106Z
2020,0000168,인천가톨릭대학교,대학,대학교,인천,사립,6549511.365,15304908.3,765285.248,16070193.55,40.8,2026-08-01T04:06:42.106Z
2020,0000169,인하대학교,대학,대학교,인천,사립,163868470.2,257739938.2,111636326.7,369376265,44.4,2026-08-01T04:06:42.106Z
2020,0000170,장로회신학대학교,대학,대학교,서울,사립,16144372.56,26866060.76,0,0,0,2026-08-01T04:06:42.106Z
2020,0000171,전주대학교,대학,대학교,전북,사립,80657542.92,135677812.3,23301784.39,158979596.7,50.7,2026-08-01T04:06:42.106Z
2020,0000172,조선대학교,대학,대학교,광주,사립,145566169.6,214630559.3,61169060.47,275799619.7,52.8,2026-08-01T04:06:42.106Z
2020,0000173,중부대학교,대학,대학교,충남,사립,62417531.94,88823873.88,13518831.77,102342705.6,61,2026-08-01T04:06:42.106Z
2020,0000175,중앙대학교,대학,대학교,서울,사립,261283131.8,363604421.1,133911366.4,497515787.5,52.5,2026-08-01T04:06:42.106Z
2020,0000177,중앙승가대학교,대학,대학교,경기,사립,729657.73,4507988.084,104422.988,4612411.072,15.8,2026-08-01T04:06:42.106Z
2020,0000239,중원대학교,대학,대학교,충북,사립,28085992.2,43101199.23,3182072.319,46283271.55,60.7,2026-08-01T04:06:42.106Z
2020,0000187,차의과학대학교,대학,대학교,경기,사립,28583865.94,89170035.1,21135880.69,110305915.8,25.9,2026-08-01T04:06:42.106Z
2020,0000249,창신대학교,대학,대학교,경남,사립,13467324.47,21652587.06,1640267.887,23292854.94,57.8,2026-08-01T04:06:42.106Z
2020,0000179,청주대학교,대학,대학교,충북,사립,88077277.31,122907596.4,12252316.86,135159913.3,65.2,2026-08-01T04:06:42.106Z
2020,0000246,초당대학교,대학,대학교,전남,사립,19701845.18,36671799.98,1149034.652,37820834.63,52.1,2026-08-01T04:06:42.106Z
2020,0000180,총신대학교,대학,대학교,서울,사립,25697682.35,40740201.85,428427.019,41168628.87,62.4,2026-08-01T04:06:42.106Z
2020,0000181,추계예술대학교,대학,대학교,서울,사립,10830626.28,16360859.04,70974.105,16431833.15,65.9,2026-08-01T04:06:42.106Z
2020,0000184,칼빈대학교,대학,대학교,경기,사립,7057672,8775913.618,0,0,0,2026-08-01T04:06:42.106Z
2020,0000079,강서대학교,대학,대학교,서울,사립,9976511.314,15501956.49,1486946.063,16988902.55,58.7,2026-08-01T04:06:42.106Z
2020,0000186,평택대학교,대학,대학교,경기,사립,30298819.27,41795900.98,4199753.416,45995654.4,65.9,2026-08-01T04:06:42.106Z
2020,0000188,포항공과대학교,대학,대학교,경북,사립,23776146.5,144720062.7,232719372.5,377439435.3,6.3,2026-08-01T04:06:42.106Z
2020,0000189,한국기술교육대학교,대학,대학교,충남,사립,19984540.38,166065138.6,34502467.14,200567605.8,10,2026-08-01T04:06:42.106Z
2020,0000247,한국공학대학교,대학,대학교,경기,사립,59815790.03,91841021.13,50650854.2,142491875.3,42,2026-08-01T04:06:42.106Z
2020,0000191,한국성서대학교,대학,대학교,서울,사립,8167634.5,16074685.84,190732.658,16265418.5,50.2,2026-08-01T04:06:42.106Z
2020,0000192,한국외국어대학교,대학,대학교,서울,사립,147333499,209692890.7,24138874.68,233831765.4,63,2026-08-01T04:06:42.106Z
2020,0000182,한국침례신학대학교,대학,대학교,대전,사립,11679117.84,20423388.53,0,0,0,2026-08-01T04:06:42.106Z
2020,0000194,한국항공대학교,대학,대학교,경기,사립,37955419.7,64394850.17,28770217.71,93165067.88,40.7,2026-08-01T04:06:42.106Z
2020,0000195,한남대학교,대학,대학교,대전,사립,84485082.32,131706806.5,31767899.67,163474706.2,51.7,2026-08-01T04:06:42.106Z
2020,0000196,한동대학교,대학,대학교,경북,사립,31647906.04,63263890.8,15624924.7,78888815.5,40.1,2026-08-01T04:06:42.106Z
2020,0000197,한라대학교,대학,대학교,강원,사립,22979957.77,37938066.98,4175189.178,42113256.16,54.6,2026-08-01T04:06:42.106Z
2020,0000242,한려대학교,대학,대학교,전남,사립,2734816.18,3176465.894,63416.984,3239882.878,84.4,2026-08-01T04:06:42.106Z
2020,0000198,한림대학교,대학,대학교,강원,사립,62686741.71,149173521.3,56983252.23,206156773.5,30.4,2026-08-01T04:06:42.106Z
2020,0000199,한서대학교,대학,대학교,충남,사립,55835505.73,89307507.46,15671492.31,104978999.8,53.2,2026-08-01T04:06:42.106Z
2020,0000200,한성대학교,대학,대학교,서울,사립,55508499.91,87308116.03,8301001.253,95609117.29,58.1,2026-08-01T04:06:42.106Z
2020,0000201,한세대학교,대학,대학교,경기,사립,24857871.97,38209258.7,583492.375,38792751.08,64.1,2026-08-01T04:06:42.106Z
2020,0000202,한신대학교,대학,대학교,경기,사립,37527804.61,58272324.36,5642277.43,63914601.79,58.7,2026-08-01T04:06:42.106Z
2020,0000203,한양대학교,대학,대학교,서울,사립,327516820.7,493490452.3,315074702.8,808565155,40.5,2026-08-01T04:06:42.106Z
2020,0000206,한일장신대학교,대학,대학교,전북,사립,7525305.9,12693769.56,65783.54,12759553.1,59,2026-08-01T04:06:42.106Z
2020,0000207,협성대학교,대학,대학교,경기,사립,31335490.4,45681992.06,4037982.11,49719974.17,63,2026-08-01T04:06:42.106Z
2020,0000208,호남대학교,대학,대학교,광주,사립,48697699.31,76218196.64,12732477.34,88950673.97,54.7,2026-08-01T04:06:42.106Z
2020,0000209,호남신학대학교,대학,대학교,광주,사립,5426029.324,8254607.698,21950.335,8276558.033,65.6,2026-08-01T04:06:42.106Z
2020,0000211,호서대학교,대학,대학교,충남,사립,105798481.2,153067066.1,30346581.75,183413647.9,57.7,2026-08-01T04:06:42.106Z
2020,0000212,홍익대학교,대학,대학교,서울,사립,195991497.1,274457491.3,31391665.32,305849156.6,64.1,2026-08-01T04:06:42.106Z
2020,0000284,청운대학교,대학,산업대학,충남,사립,43683333.07,65270022.36,10975486.52,76245508.88,57.3,2026-08-01T04:06:42.106Z
2020,0000282,호원대학교,대학,산업대학,전북,사립,35400654.01,56623073.25,1335464.134,57958537.38,61.1,2026-08-01T04:06:42.106Z
2020,0000663,개신대학원대학교,대학원대학,전문대학원,서울,사립,653082.674,1188514.173,0,0,0,2026-08-01T04:06:42.106Z
2020,0000643,건신대학원대학교,대학원대학,전문대학원,대전,사립,1053977.76,1280946.418,279623.357,1560569.775,67.5,2026-08-01T04:06:42.106Z
2020,0000668,경안대학원대학교,대학원대학,전문대학원,경북,사립,256300.33,396983.329,0,0,0,2026-08-01T04:06:42.106Z
2020,0002643,계약신학대학원대학교,대학원대학,전문대학원,경기,사립,173260,418324.275,0,0,0,2026-08-01T04:06:42.106Z
2020,0002857,구세군사관대학원대학교,대학원대학,특수대학원,경기,사립,172800,1108979.914,0,0,0,2026-08-01T04:06:42.106Z
2020,0000657,국제뇌교육종합대학원대학교,대학원대학,전문대학원,충남,사립,2220704.6,2466103.654,355771.666,2821875.32,78.7,2026-08-01T04:06:42.106Z
2020,0000655,국제법률경영대학원대학교,대학원대학,전문대학원,경기,사립,1057753.125,2427059.08,0,0,0,2026-08-01T04:06:42.106Z
2020,0000649,수도국제대학원대학교,대학원대학,전문대학원,서울,사립,2195317,2719172.284,0,0,0,2026-08-01T04:06:42.106Z
2020,0000656,국제언어대학원대학교,대학원대학,전문대학원,서울,사립,518397,1469424.154,43097.32,1512521.474,34.3,2026-08-01T04:06:42.106Z
2020,0002818,능인대학원대학교,대학원대학,전문대학원,경기,사립,498460,1142380.006,0,0,0,2026-08-01T04:06:42.106Z
2020,0000641,대한신학대학원대학교,대학원대학,전문대학원,경기,사립,1242644.12,1667967.382,0,0,0,2026-08-01T04:06:42.106Z
2020,0000669,동방문화대학원대학교,대학원대학,전문대학원,서울,사립,2805518.668,3699893.508,256665.074,3956558.582,70.9,2026-08-01T04:06:42.106Z
2020,0000642,베뢰아국제대학원대학교,대학원대학,전문대학원,서울,사립,226015,991738.387,0,0,0,2026-08-01T04:06:42.106Z
