year,school_code_std,school_name,corp_name,school_division,region,estb,school_status,land_appraised,land_net_income,building_appraised,building_net_income,securities_appraised,securities_net_income,deposit_appraised,deposit_net_income,other_appraised,other_net_income,collateral_deduction,total_appraised,total_net_income,uploaded_at
2025,0000448,대림대학교,대림학원,전문대학,경기,사립,기존,85753,0,0,0,14273648,384955,1704066,16779,0,0,0,16063467,401734,2026-08-06T23:37:18.005Z
2025,0000093,대신대학교,대신대학교,대학,경북,사립,기존,2291391,4180,582786,0,530166,0,0,0,0,0,0,3404343,4180,2026-08-06T23:37:18.005Z
2025,0000449,대원대학교,민송학원,전문대학,충북,사립,기존,69636,0,0,0,0,0,1024028,39527,0,0,0,1093664,39527,2026-08-06T23:37:18.005Z
2025,0000094,대전가톨릭대학교,천주교대전교구대지학원,대학,세종,사립,기존,3464386,0,394984,90000,0,0,218000,6603,0,0,625718,3451652,96603,2026-08-06T23:37:18.005Z
2025,0000453,대전과학기술대학교,혜천학원,전문대학,대전,사립,기존,24441132,0,0,0,40386,0,32434761,290000,0,0,0,56916279,290000,2026-08-06T23:37:18.005Z
2025,0000095,대전대학교,혜화학원,대학,대전,사립,기존,10396302,0,6336955,130000,34138,0,5540933,0,0,0,0,22308328,130000,2026-08-06T23:37:18.005Z
2025,0000451,대전보건대학교,청운학원,전문대학,대전,사립,기존,3743187,0,3910087,93387,0,0,1246516,51613,0,0,0,8899790,145000,2026-08-06T23:37:18.005Z
2025,0000238,대전신학대학교,대전신학대학교,대학,대전,사립,기존,408715,0,974300,59860,0,0,0,0,0,0,0,1383015,59860,2026-08-06T23:37:18.005Z
2025,0000097,대진대학교,대진대학교,대학,경기,사립,기존,8668564,0,0,0,10000000,209998,12027459,529814,6458935,0,0,37154958,739812,2026-08-06T23:37:18.005Z
2025,0000641,대한신학대학원대학교,대한신학대학원,대학원대학,경기,사립,기존,889131,0,912764,0,0,0,0,0,0,0,0,1801895,0,2026-08-06T23:37:18.005Z
2025,0000099,덕성여자대학교,덕성학원,대학,서울,사립,기존,162728969,566214,1864472,1233786,16878957,414479,103403249,4340660,0,0,0,284875647,6555139,2026-08-06T23:37:18.005Z
2025,0000460,동강대학교,후성학원,전문대학,광주,사립,기존,1686037,3200,88300,0,2372050,8481,8685807,316802,0,0,0,12832194,328483,2026-08-06T23:37:18.005Z
2025,0000100,동국대학교,동국대학교,대학,서울,사립,기존,119615659,723088,21133374,4948517,6089906,302256,2710604,100494,0,0,0,149549543,6074355,2026-08-06T23:37:18.005Z
2025,0000457,동남보건대학교,동남학원,전문대학,경기,사립,기존,2666667,22803,0,0,0,0,1466500,57211,0,0,0,4133167,80014,2026-08-06T23:37:18.005Z
2025,0000102,동덕여자대학교,동덕학원,대학,서울,사립,기존,108328421,0,10060634,883882,2274052,34763,7918603,334703,0,0,324063,128257647,1253348,2026-08-06T23:37:18.005Z
2025,0000235,동명대학교,동명문화학원,대학,부산,사립,기존,54400942,407406,1948438,709577,249460,13539,6854432,289478,0,0,0,63453272,1420000,2026-08-06T23:37:18.005Z
2025,0000669,동방문화대학원대학교,동방대학교,대학원대학,서울,사립,기존,2951847,0,972682,0,0,0,0,0,0,0,0,3924529,0,2026-08-06T23:37:18.005Z
2025,0000103,동서대학교,동서학원,대학,부산,사립,기존,21673341,0,21214845,1600000,1186000,32400,11212067,60000,0,0,2343900,52942353,1692400,2026-08-06T23:37:18.005Z
2025,0000450,동서울대학교,학산학원,전문대학,경기,사립,기존,0,0,0,0,0,0,1822832,63335,0,0,0,1822832,63335,2026-08-06T23:37:18.005Z
2025,0000104,동신대학교,해인학원,대학,전남,사립,기존,12208312,0,2357788,0,3766373,29175,342522,4,60153,0,3335000,15400148,29179,2026-08-06T23:37:18.005Z
2025,0000105,동아대학교,동아학숙,대학,부산,사립,기존,23114528,23494,18442605,144131,0,0,19684628,433674,0,0,16010577,45231184,601299,2026-08-06T23:37:18.005Z
2025,0000461,동아방송예술대학교,공산학원,전문대학,경기,사립,기존,192000,24399,0,0,1417916,17241,18841071,447510,0,0,0,20450987,489150,2026-08-06T23:37:18.005Z
