year,cohort,school_rep_code,school_rep_name,region,estb,school_division,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,campus_count,grad_program_count,has_alimi,updated_at
2025,junior-college,0000522,호산대학교,경북,사립,전문대학,676,1119,676,443,951,676,275,100,85,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000267,광주보건대학교,광주,사립,전문대학,1105,1584,1105,479,1397,1032,365,93.4,88.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000273,기독간호대학교,광주,사립,전문대학,135,210,135,75,184,135,49,100,87.6,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000297,동강대학교,광주,사립,전문대학,945,1373,898,475,1065,824,241,91.8,77.6,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000320,서영대학교,광주,사립,전문대학,1675,2472,1675,797,2273,1634,639,97.6,91.9,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000366,조선간호대학교,광주,사립,전문대학,152,212,152,60,210,152,58,100,99.1,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000365,조선이공대학교,광주,사립,전문대학,1492,1705,1443,262,1528,1360,168,94.2,89.6,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000263,계명문화대학교,대구,사립,전문대학,2018,2752,2018,734,2158,1910,248,94.6,78.4,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000280,대구공업대학교,대구,사립,전문대학,530,773,530,243,733,530,203,100,94.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000283,대구과학대학교,대구,사립,전문대학,1539,2103,1539,564,1985,1539,446,100,94.4,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000281,대구보건대학교,대구,사립,전문대학,2120,2995,2120,875,2822,2051,771,96.7,94.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000282,수성대학교,대구,사립,전문대학,1177,1690,1177,513,1534,1177,357,100,90.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000346,영남이공대학교,대구,사립,전문대학,2156,3220,2156,1064,2913,2156,757,100,90.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000349,영진전문대학교,대구,사립,전문대학,2444,4226,2444,1782,3596,2444,1152,100,85.1,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000376,대덕대학교,대전,사립,전문대학,1209,1643,1209,434,909,755,154,62.4,55.3,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000512,대전과학기술대학교,대전,사립,전문대학,1272,1648,1272,376,1530,1272,258,100,92.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000288,대전보건대학교,대전,사립,전문대학,1422,1852,1422,430,1701,1339,362,94.2,91.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000289,우송정보대학,대전,사립,전문대학,1475,1550,1475,75,1503,1444,59,97.9,97,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000253,경남정보대학교,부산,사립,전문대학,1965,3865,1965,1900,2629,1591,1038,81,68,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000284,대동대학교,부산,사립,전문대학,398,563,398,165,469,366,103,92,83.3,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000303,동의과학대학교,부산,사립,전문대학,1258,2524,1258,1266,1871,1192,679,94.8,74.1,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000313,부산경상대학교,부산,사립,전문대학,1010,1116,840,276,690,574,116,68.3,61.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000315,부산과학기술대학교,부산,사립,전문대학,1194,2412,1194,1218,2098,1127,971,94.4,87,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000569,부산보건대학교,부산,사립,전문대학,788,1183,788,395,966,674,292,85.5,81.7,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000314,부산여자대학교,부산,사립,전문대학,618,1283,618,665,747,596,151,96.4,58.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000388,부산예술대학교,부산,사립,전문대학,343,395,343,52,187,135,52,39.4,47.3,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000300,동양미래대학교,서울,사립,전문대학,2135,3861,2135,1726,2721,2115,606,99.1,70.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000307,명지전문대학,서울,사립,전문대학,2491,3554,2491,1063,3253,2491,762,100,91.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000310,배화여자대학교,서울,사립,전문대학,1070,1541,1065,476,1361,1065,296,100,88.3,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000317,삼육보건대학교,서울,사립,전문대학,384,736,384,352,605,384,221,100,82.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000321,서울여자간호대학교,서울,사립,전문대학,168,230,168,62,229,168,61,100,99.6,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000324,서일대학교,서울,사립,전문대학,2155,3083,2155,928,2780,2145,635,99.5,90.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000333,숭의여자대학교,서울,사립,전문대학,1315,1621,1315,306,1518,1315,203,100,93.6,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000356,인덕대학교,서울,사립,전문대학,2074,2765,2074,691,2632,2074,558,100,95.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000384,한양여자대학교,서울,사립,전문대학,2291,3089,2291,798,2874,2291,583,100,93,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000353,한국영상대학교,세종,사립,전문대학,1089,1476,1089,387,1311,1006,305,92.4,88.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000352,울산과학대학교,울산,사립,전문대학,1628,2485,1628,857,2031,1579,452,97,81.7,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000375,춘해보건대학교,울산,사립,전문대학,654,1085,654,431,953,599,354,91.6,87.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000261,경인여자대학교,인천,사립,전문대학,1305,1738,1305,433,1648,1260,388,96.6,94.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000357,인하공업전문대학,인천,사립,전문대학,2543,3764,2543,1221,3419,2543,876,100,90.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000587,재능대학교,인천,사립,전문대학,1279,1724,1279,445,1348,1136,212,88.8,78.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000266,광양보건대학교,전남,사립,전문대학,373,433,373,60,55,43,12,11.5,12.7,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000585,나주대학교,전남,사립,전문대학,800,1605,800,805,853,729,124,91.1,53.1,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000532,동아보건대학교,전남,사립,전문대학,350,477,350,127,303,275,28,78.6,63.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000308,목포과학대학교,전남,사립,전문대학,897,1157,897,260,1010,822,188,91.6,87.3,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000331,순천제일대학교,전남,사립,전문대학,987,1346,987,359,1302,984,318,99.7,96.7,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000360,전남과학대학교,전남,사립,전문대학,1064,1892,1064,828,1348,897,451,84.3,71.2,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000332,청암대학교,전남,사립,전문대학,800,1070,800,270,856,710,146,88.8,80,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000546,한영대학교,전남,사립,전문대학,512,878,512,366,610,504,106,98.4,69.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000250,군산간호대학교,전북,사립,전문대학,221,310,221,89,269,221,48,100,86.8,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000270,군장대학교,전북,사립,전문대학,635,1169,635,534,951,594,357,93.5,81.4,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000311,백제예술대학교,전북,사립,전문대학,387,432,387,45,356,340,16,87.9,82.4,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000354,원광보건대학교,전북,사립,전문대학,1281,1739,1281,458,1608,1188,420,92.7,92.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000362,전북과학대학교,전북,사립,전문대학,592,991,592,399,639,569,70,96.1,64.5,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000274,전주기전대학,전북,사립,전문대학,772,998,772,226,895,752,143,97.4,89.7,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000361,전주비전대학교,전북,사립,전문대학,1035,1382,1035,347,1193,859,334,83,86.3,1,0,Y,2026-08-15T03:27:05.075Z
2025,junior-college,0000363,제주관광대학교,제주,사립,전문대학,820,973,750,223,784,688,96,91.7,80.6,1,0,Y,2026-08-15T03:27:05.075Z
