year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,admission_quota,recruit_total,recruit_within,recruit_outside,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,consolidated_at
2020,대학교,사립,대학,경기,기존,0000115,용인대학교,1,1403,1740,1412,328,1654,1406,248,99.58,95.06,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000559,용인예술과학대학교,1,1678,2090,1678,412,1775,1608,167,95.83,84.93,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000394,웅지세무대학교,1,599,831,599,232,272,268,4,44.74,32.73,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000355,유한대학교,1,2040,2946,2040,906,2293,2040,253,100,77.83,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000358,장안대학교,1,2444,2857,2444,413,2597,2330,267,95.34,90.9,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000130,중앙승가대학교,1,120,130,122,8,39,33,6,27.05,30,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000139,차의과학대학교,1,474,501,474,27,498,474,24,100,99.4,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000374,청강문화산업대학교,1,1182,1474,1182,292,1474,1182,292,100,100,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000136,칼빈대학교,1,90,141,92,49,115,92,23,100,81.56,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000138,평택대학교,1,855,970,859,111,959,855,104,99.53,98.87,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,경기,기존,0000568,한경대학교,1,1143,1304,1143,161,1224,1134,90,99.21,93.87,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경기,기존,0000391,한국관광대학교,1,930,1155,930,225,1039,917,122,98.6,89.96,2026-08-07T07:48:15.946Z
2020,전문대학,국립,전문대학,경기,폐교,0000248,한국복지대학교,1,211,414,211,203,291,211,80,100,70.29,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000562,한국산업기술대학교,1,1380,1857,1382,475,1701,1381,320,99.93,91.6,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경기,기존,0000479,한국폴리텍 I 대학,1,415,440,402,38,440,402,38,100,100,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경기,기존,0000548,한국폴리텍 II 대학,1,330,818,780,38,359,322,37,41.28,43.89,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000144,한국항공대학교,1,827,939,829,110,928,819,109,98.79,98.83,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000151,한세대학교,1,566,651,567,84,616,565,51,99.65,94.62,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000152,한신대학교,1,1171,1309,1173,136,1274,1173,101,100,97.33,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000153,한양대학교,2,4626,5911,4639,1272,5820,4622,1198,99.63,98.46,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경기,기존,0000156,협성대학교,1,1004,1065,1008,57,1062,1006,56,99.8,99.72,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경기,기존,0000516,ICT폴리텍대학,1,160,192,160,32,169,160,9,100,88.02,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경남,기존,0000032,가야대학교,1,568,605,573,32,496,469,27,81.85,81.98,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000251,거제대학교,1,420,701,420,281,394,311,83,74.05,56.21,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,경남,폐교,0000026,경남과학기술대학교,1,1125,1213,1129,84,1188,1129,59,100,97.94,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경남,기존,0000040,경남대학교,1,2840,3031,2853,178,2889,2733,156,95.79,95.32,2026-08-07T07:48:15.946Z
2020,전문대학,공립,전문대학,경남,기존,0000242,경남도립거창대학,1,405,463,405,58,406,405,1,100,87.69,2026-08-07T07:48:15.946Z
2020,전문대학,공립,전문대학,경남,기존,0000243,경남도립남해대학,1,375,439,375,64,398,375,23,100,90.66,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,경남,기존,0000556,경상대학교,1,3032,3349,3033,316,3253,3028,225,99.84,97.13,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000395,김해대학교,1,488,669,488,181,549,479,70,98.16,82.06,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000342,동원과학기술대학교,1,802,1394,802,592,997,733,264,91.4,71.52,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000306,마산대학교,1,2056,2538,2056,482,2152,1858,294,90.37,84.79,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경남,기존,0000167,부산장신대학교,1,49,54,49,5,49,48,1,97.96,90.74,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000530,연암공과대학교,1,502,575,502,73,546,502,44,100,94.96,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경남,기존,0000122,인제대학교,1,2168,2349,2171,178,2272,2149,123,98.99,96.72,2026-08-07T07:48:15.946Z
2020,교육대학,국립,대학,경남,기존,0000203,진주교육대학교,1,319,346,319,27,337,319,18,100,97.4,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000369,진주보건대학교,1,782,1064,782,282,993,765,228,97.83,93.33,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경남,기존,0000193,창신대학교,1,500,527,500,27,523,500,23,100,99.24,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,경남,기존,0000581,창원대학교,1,1754,2037,1763,274,1940,1755,185,99.55,95.24,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000528,창원문성대학교,1,1218,1467,1218,249,989,883,106,72.5,67.42,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경남,기존,0000396,한국승강기대학교,1,297,410,297,113,336,297,39,100,81.95,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경남,기존,0000503,한국폴리텍 특성화대학,1,240,308,240,68,248,220,28,91.67,80.52,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경남,기존,0000496,한국폴리텍 VII 대학,1,605,821,605,216,782,605,177,100,95.25,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000249,가톨릭상지대학교,1,622,1062,622,440,768,566,202,91,72.32,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000293,경북과학대학교,1,693,948,693,255,821,693,128,100,86.6,2026-08-07T07:48:15.946Z
2020,전문대학,공립,전문대학,경북,폐교,0000244,경북도립대학교,1,365,437,365,72,398,365,33,100,91.08,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000523,경북보건대학교,1,367,481,367,114,375,342,33,93.19,77.96,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000258,경북전문대학교,1,920,1321,920,401,1229,902,327,98.04,93.04,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000188,경운대학교,1,1184,1246,1184,62,1227,1165,62,98.4,98.48,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000045,경일대학교,1,1584,1856,1591,265,1772,1580,192,99.31,95.47,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000586,경주대학교,1,762,743,702,41,185,176,9,25.07,24.9,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000268,구미대학교,1,1541,2421,1541,880,2421,1541,880,100,100,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,경북,기존,0000575,금오공과대학교,1,1206,1595,1210,385,1310,1206,104,99.67,82.13,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000185,김천대학교,1,691,771,691,80,731,659,72,95.37,94.81,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000279,대경대학교,1,1652,1971,1652,319,1828,1533,295,92.8,92.74,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000063,대구가톨릭대학교,1,2862,3093,2863,230,3039,2863,176,100,98.25,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000061,대구대학교,1,4059,4827,4077,750,4482,4075,407,99.95,92.85,2026-08-07T07:48:15.946Z
2020,사이버대학(대학),사립,대학,경북,기존,0000410,대구사이버대학교,1,1500,2760,1500,1260,1474,1150,324,76.67,53.41,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000062,대구예술대학교,1,430,450,430,20,236,232,4,53.95,52.44,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000042,대구한의대학교,1,1518,1716,1520,196,1707,1519,188,99.93,99.48,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000065,대신대학교,1,116,116,116,0,116,116,0,100,100,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000071,동국대학교,2,4439,5325,4462,863,5129,4451,678,99.75,96.32,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000076,동양대학교,1,1028,1090,1028,62,1057,996,61,96.89,96.97,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000309,문경대학교,1,281,371,281,90,314,273,41,97.15,84.64,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,폐교,0000262,서라벌대학교,1,235,431,235,196,205,189,16,80.43,47.56,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000380,선린대학교,1,794,1099,794,305,882,721,161,90.81,80.25,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000547,성덕대학교,1,560,987,560,427,747,559,188,99.82,75.68,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000338,안동과학대학교,1,960,1433,960,473,992,820,172,85.42,69.23,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,경북,기존,0000580,안동대학교,1,1456,1580,1461,119,1537,1459,78,99.86,97.28,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000111,영남대학교,1,4552,5002,4560,442,4931,4545,386,99.67,98.58,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000112,영남신학대학교,1,115,125,115,10,118,115,3,100,94.4,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000257,영남외국어대학,1,367,478,367,111,230,210,20,57.22,48.12,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000119,위덕대학교,1,780,822,780,42,783,770,13,98.72,95.26,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000140,포항공과대학교,1,320,330,320,10,330,320,10,100,100,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000381,포항대학교,1,721,847,721,126,762,665,97,92.23,89.96,2026-08-07T07:48:15.946Z
2020,사이버대학(전문대학),사립,전문대학,경북,기존,0000407,한국복지사이버대학,1,1000,1390,1000,390,1153,1000,153,100,82.95,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경북,기존,0000495,한국폴리텍 VI 대학,1,260,312,260,52,267,247,20,95,85.58,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,경북,기존,0000504,한국폴리텍 VI 대학,1,30,36,30,6,28,28,0,93.33,77.78,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,경북,기존,0000146,한동대학교,1,729,823,730,93,821,730,91,100,99.76,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,경북,기존,0000522,호산대학교,1,667,1011,667,344,817,611,206,91.6,80.81,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000052,광신대학교,1,122,136,123,13,130,123,7,100,95.59,2026-08-07T07:48:15.946Z
2020,대학교,특별법법인,대학,광주,기존,0000469,광주과학기술원,1,200,198,198,0,196,196,0,98.99,98.99,2026-08-07T07:48:15.946Z
2020,교육대학,국립,대학,광주,기존,0000196,광주교육대학교,1,326,354,327,27,350,327,23,100,98.87,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000176,광주대학교,1,1644,1745,1647,98,1721,1624,97,98.6,98.62,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,광주,기존,0000267,광주보건대학교,1,1101,1576,1101,475,1488,1101,387,100,94.42,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000055,광주여자대학교,1,895,990,895,95,990,895,95,100,100,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,광주,기존,0000273,기독간호대학교,1,111,177,111,66,172,111,61,100,97.18,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000162,남부대학교,1,705,782,707,75,768,702,66,99.29,98.21,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,광주,기존,0000297,동강대학교,1,1286,1619,1286,333,1335,1201,134,93.39,82.46,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,광주,기존,0000320,서영대학교,1,1742,2925,1742,1183,2408,1730,678,99.31,82.32,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000187,송원대학교,1,720,794,720,74,793,720,73,100,99.87,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,광주,기존,0000016,전남대학교,2,3890,4413,3898,515,4295,3895,400,99.92,97.33,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,광주,기존,0000366,조선간호대학교,1,139,193,139,54,193,139,54,100,100,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000127,조선대학교,1,4324,4840,4340,500,4744,4322,422,99.59,98.02,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,광주,기존,0000365,조선이공대학교,1,1492,2174,1492,682,1698,1454,244,97.45,78.1,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,광주,기존,0000489,한국폴리텍 V 대학,1,355,426,355,71,412,355,57,100,96.71,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000157,호남대학교,1,1562,1714,1564,150,1703,1560,143,99.74,99.36,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,광주,기존,0000158,호남신학대학교,1,139,139,139,0,139,139,0,100,100,2026-08-07T07:48:15.946Z
2020,대학교,국립,대학,대구,기존,0000003,경북대학교,1,4614,5155,4627,528,5078,4618,460,99.81,98.51,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,대구,기존,0000048,계명대학교,1,4605,5118,4607,511,4948,4606,342,99.98,96.68,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000263,계명문화대학교,1,2116,2931,2116,815,2303,1916,387,90.55,78.57,2026-08-07T07:48:15.946Z
2020,대학교,특별법법인,대학,대구,기존,0000470,대구경북과학기술원,1,220,220,220,0,231,231,0,105,105,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000280,대구공업대학교,1,800,1041,800,241,847,741,106,92.63,81.36,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000283,대구과학대학교,1,1552,1885,1552,333,1656,1474,182,94.97,87.85,2026-08-07T07:48:15.946Z
2020,교육대학,국립,대학,대구,기존,0000197,대구교육대학교,1,383,419,383,36,413,383,30,100,98.57,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000281,대구보건대학교,1,2188,3156,2188,968,2727,2069,658,94.56,86.41,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000282,수성대학교,1,1380,1574,1380,194,1430,1274,156,92.32,90.85,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000346,영남이공대학교,1,2243,3328,2243,1085,2646,2106,540,93.89,79.51,2026-08-07T07:48:15.946Z
2020,사이버대학(전문대학),사립,전문대학,대구,기존,0000406,영진사이버대학,1,1300,2980,1300,1680,1785,1238,547,95.23,59.9,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대구,기존,0000349,영진전문대학교,1,2631,3852,2631,1221,3749,2631,1118,100,97.33,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,대구,기존,0000549,한국폴리텍 특성화대학,1,175,210,175,35,120,114,6,65.14,57.14,2026-08-07T07:48:15.946Z
2020,기능대학,사립,전문대학,대구,기존,0000494,한국폴리텍 VI 대학,1,330,396,330,66,331,298,33,90.3,83.59,2026-08-07T07:48:15.946Z
2020,사이버대학(대학),사립,대학,대전,기존,0000425,건양사이버대학교,1,900,4751,900,3851,939,724,215,80.44,19.76,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대전,기존,0000376,대덕대학교,1,1939,2317,1939,378,1722,1517,205,78.24,74.32,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대전,기존,0000512,대전과학기술대학교,1,1739,2072,1739,333,1874,1629,245,93.67,90.44,2026-08-07T07:48:15.946Z
2020,대학교,사립,대학,대전,기존,0000067,대전대학교,1,2045,2265,2056,209,2209,2053,156,99.85,97.53,2026-08-07T07:48:15.946Z
2020,전문대학,사립,전문대학,대전,기존,0000288,대전보건대학교,1,1865,2414,1865,549,2331,1857,474,99.57,96.56,2026-08-07T07:48:15.946Z
