year,cohort,school_rep_code,school_rep_name,region,estb,school_division,ordinary_expense_transfer,legal_obligation_transfer,asset_transfer,total_transfer,tuition_revenue,transfer_ratio,campus_count,has_alimi,updated_at
2020,university,0000080,목원대학교,대전,사립,대학,0,740000,0,740000,56116572.73,1.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000081,배재대학교,대전,사립,대학,280000,2170000,0,2450000,57936664.59,4.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000184,우송대학교,대전,사립,대학,0,1830000,0,1830000,72726545.89,2.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000120,을지대학교,대전,사립,대학,5094000,3531000,0,8625000,42352121.33,20.4,3,Y,2026-08-15T06:50:35.100Z
2020,university,0000551,한국침례신학대학교,대전,사립,대학,11100,125000,0,136100,11679117.84,1.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000145,한남대학교,대전,사립,대학,185000,350000,0,535000,84485082.32,0.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000043,경성대학교,부산,사립,대학,100000,440000,0,540000,82234747.23,0.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000050,고신대학교,부산,사립,대학,0,4218289.097,0,4218289.097,29690495.26,14.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000180,동명대학교,부산,사립,대학,0,900000,0,900000,52533682.72,1.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000073,동서대학교,부산,사립,대학,0,330000,0,330000,67662502.76,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000075,동아대학교,부산,사립,대학,120000,3440000,0,3560000,138086062.4,2.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000077,동의대학교,부산,사립,대학,0,1370000,0,1370000,101102346.3,1.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000082,부산가톨릭대학교,부산,사립,대학,0,1400000,0,1400000,26170761.72,5.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000083,부산외국어대학교,부산,사립,대학,0,230000,0,230000,49311188.29,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000106,신라대학교,부산,사립,대학,0,306009,0,306009,56650737.02,0.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000035,감리교신학대학교,서울,사립,대학,2000,60000,0,62000,9013573.55,0.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000037,건국대학교,서울,사립,대학,89101.24,4870000,0,4959101.24,232698112.1,2.1,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000047,경희대학교,서울,사립,대학,241395,12648762.64,0,12890157.64,289984318.4,4.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000049,고려대학교,서울,사립,대학,443379,15504484.46,0,15947863.46,352941598.1,4.5,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000053,광운대학교,서울,사립,대학,0,300000,0,300000,76370613.3,0.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000056,국민대학교,서울,사립,대학,0,5200000,0,5200000,151941941.7,3.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000070,덕성여자대학교,서울,사립,대학,1726944.946,3121287.19,439520.526,5287752.662,41306777.17,12.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000071,동국대학교,서울,사립,대학,216200,9202000,0,9418200,214686985.9,4.4,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000072,동덕여자대학교,서울,사립,대학,0,400000,0,400000,52311935.33,0.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000084,삼육대학교,서울,사립,대학,0,1713629,0,1713629,46201973.16,3.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000085,상명대학교,서울,사립,대학,0,245000,0,245000,107670378.7,0.2,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000087,서강대학교,서울,사립,대학,277187.981,1120000,0,1397187.9810000001,102451524,1.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000088,서경대학교,서울,사립,대학,0,797747,0,797747,49019921.07,1.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000069,서울기독대학교,서울,사립,대학,0,0,0,0,0,,1,N,2026-08-15T06:50:35.100Z
2020,university,0000091,서울여자대학교,서울,사립,대학,375832.793,100000,183610,659442.7930000001,53089895.47,1.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000539,서울한영대학교,서울,사립,대학,438425.66,377620.44,0,816046.1,6045081.03,13.5,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000096,성공회대학교,서울,사립,대학,0,20000,0,20000,17041987.23,0.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000097,성균관대학교,서울,사립,대학,9143000,19709000,0,28852000,271257112.1,10.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000098,성신여자대학교,서울,사립,대학,0,430000,0,430000,75745580.17,0.6,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000100,세종대학교,서울,사립,대학,0,980000,0,980000,120201796.1,0.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000103,숙명여자대학교,서울,사립,대학,0,373000,0,373000,103145047.7,0.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000105,숭실대학교,서울,사립,대학,56100,929691,28.987,985819.987,135433853.5,0.7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000110,연세대학교,서울,사립,대학,29842545.7,42645414.11,0,72487959.81,391949729.3,18.5,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000121,이화여자대학교,서울,사립,대학,57876.6,8167000,0,8224876.6,201722872.4,4.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000125,장로회신학대학교,서울,사립,대학,146218,844000,0,990218,16144372.56,6.1,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000129,중앙대학교,서울,사립,대학,0,9462631.785,0,9462631.785,261283131.8,3.6,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000133,총신대학교,서울,사립,대학,0,0,0,0,25697682.35,0,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000134,추계예술대학교,서울,사립,대학,0,100000,0,100000,10830626.28,0.9,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000525,케이씨대학교,서울,사립,대학,0,130000,0,130000,9976511.314,1.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000142,한국성서대학교,서울,사립,대학,30000,539781.88,0,569781.88,8167634.5,7,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000143,한국외국어대학교,서울,사립,대학,0,4941000,0,4941000,147333499,3.4,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000150,한성대학교,서울,사립,대학,0,490000,0,490000,55508499.91,0.9,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000153,한양대학교,서울,사립,대학,1242462,9870006,0,11112468,327516820.7,3.4,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000160,홍익대학교,서울,사립,대학,0,80000,0,80000,195991497.1,0,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000066,대전가톨릭대학교,세종,사립,대학,875070.4,140772.9,0,1015843.3,444970,228.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000117,울산대학교,울산,사립,대학,9917061.925,10370044.37,0,20287106.295,102326754.5,19.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000123,인천가톨릭대학교,인천,사립,대학,3398083.786,506557.18,0,3904640.966,6549511.365,59.6,2,Y,2026-08-15T06:50:35.100Z
2020,university,0000124,인하대학교,인천,사립,대학,0,7797557.97,0,7797557.97,163868470.2,4.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000054,광주가톨릭대학교,전남,사립,대학,1017970.194,156899.49,0,1174869.684,0,,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000074,동신대학교,전남,사립,대학,51252,975000,0,1026252,43864479.51,2.3,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000166,목포가톨릭대학교,전남,사립,대학,8000,227992.35,0,235992.35,3258564.166,7.2,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000064,세한대학교,전남,사립,대학,0,170000,0,170000,21975288.44,0.8,1,Y,2026-08-15T06:50:35.100Z
2020,university,0000114,영산선학대학교,전남,사립,대학,580000,38427.24,0,618427.24,59000,1048.2,1,Y,2026-08-15T06:50:35.100Z
