school_code_std,school_name,main_branch,school_type,establishment,road_address,lot_address,sido,sigungu,lng,lat,geocoded_at
0000068,계명대학교,본교,대학교,사립,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",대구광역시 달서구 호산동 산 1,대구광역시,달서구,128.47941593120652,35.85545201487874,2026-08-01T20:12:16.527Z
0000425,계명문화대학교,본교,전문대학,사립,"대구광역시 달서구 달서대로 675 (신당동, 계명문화대학교)",대구광역시 달서구 신당동 700,대구광역시,달서구,128.48995474417833,35.86001556087835,2026-08-01T20:12:16.527Z
0000426,계원예술대학교,본교,전문대학,사립,"경기도 의왕시 계원대학로 66 (내손동, 계원예술대학교)",경기도 의왕시 내손동 247,경기도,의왕시,126.98034111044599,37.37871821117089,2026-08-01T20:12:16.527Z
0000069,고려대학교,본교,대학교,사립,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",서울특별시 성북구 안암동5가 163-10,서울특별시,성북구,127.02887472010458,37.591427483696506,2026-08-01T20:12:16.527Z
0000070,고려대학교(세종),분교,대학교,사립,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)",세종특별자치시  조치원읍 서창리 208,,,127.28458700897875,36.61066802092938,2026-08-01T20:12:16.527Z
0000071,고신대학교,본교,대학교,사립,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",부산광역시 영도구 동삼동 516-43,부산광역시,영도구,129.0638557694357,35.078481607406914,2026-08-01T20:12:16.527Z
0000073,광신대학교,본교,대학교,사립,"전남광주통합특별시 북구 양산택지소로 36 (본촌동, 광신대학교)",전남광주통합특별시 북구 본촌동 132-1,전남광주통합특별시,북구,126.88465661612517,35.215725404126204,2026-08-01T20:12:16.527Z
0000428,광양보건대학교,본교,전문대학,사립,"전남광주통합특별시 광양시 광양읍 대학로 85 (덕례리, 광양보건대학)",전남광주통합특별시 광양시 광양읍 덕례리 654-1,전남광주통합특별시,광양시,127.56897798585304,34.95346606976372,2026-08-01T20:12:16.527Z
0000074,광운대학교,본교,대학교,사립,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",서울특별시 노원구 월계동 447-1,서울특별시,노원구,127.05881566923324,37.62013714687011,2026-08-01T20:12:16.527Z
0000075,광주가톨릭대학교,본교,대학교,사립,"전남광주통합특별시 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",전남광주통합특별시 나주시 남평읍 남석리 산 69-1,전남광주통합특별시,나주시,126.86424900650556,35.01509243838859,2026-08-01T20:12:16.527Z
0000381,광주과학기술원,본교,대학교,특별법법인,"전남광주통합특별시 북구 첨단과기로 123 (오룡동, 광주과학기술원)",전남광주통합특별시 북구 오룡동 1,전남광주통합특별시,북구,126.83732444904652,35.22886790265037,2026-08-01T20:12:16.527Z
0000231,광주대학교,본교,대학교,사립,"전남광주통합특별시 남구 효덕로 277 (진월동, 광주대학교)",전남광주통합특별시 남구 진월동 592-1,전남광주통합특별시,남구,126.89547544997627,35.10649907926424,2026-08-01T20:12:16.527Z
0000429,광주보건대학교,본교,전문대학,사립,"전남광주통합특별시 광산구 북문대로419번길 73 (신창동, 광주보건대학)",전남광주통합특별시 광산구 신창동 683-3,전남광주통합특별시,광산구,126.84530116980866,35.19106538408565,2026-08-01T20:12:16.527Z
0000076,광주여자대학교,본교,대학교,사립,전남광주통합특별시 광산구 광주여대길 40 (산정동),전남광주통합특별시 광산구 산정동 산 105-1,전남광주통합특별시,광산구,126.79640857128581,35.16316587063491,2026-08-01T20:12:16.527Z
0000430,구미대학교,본교,전문대학,사립,"경상북도 구미시 야은로 37 (부곡동, 구미대학교)",경상북도 구미시 부곡동 502-1,경상북도,구미시,128.29032609633697,36.15319645407031,2026-08-01T20:12:16.527Z
