year,school_kind,estb,school_division,region,status,school_rep_code,school_rep_name,campus_count,enrolled_students,enrolled_dropouts,enrolled_dropout_rate,freshman_students,freshman_dropouts,freshman_dropout_rate,consolidated_at
2019,대학교,사립,대학,경남,기존,0000032,가야대학교,1,3124,199,6.37,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000251,거제대학교,1,1720,164,9.53,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경남,폐교,0000026,경남과학기술대학교,1,6946,457,6.58,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경남,기존,0000040,경남대학교,1,16923,975,5.76,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,공립,전문대학,경남,기존,0000242,경남도립거창대학,1,1336,147,11,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,공립,전문대학,경남,기존,0000243,경남도립남해대학,1,1404,119,8.48,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경남,기존,0000556,경상대학교,1,19674,768,3.9,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000395,김해대학교,1,1800,141,7.83,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000342,동원과학기술대학교,1,3280,236,7.2,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000306,마산대학교,1,7499,575,7.67,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경남,기존,0000167,부산장신대학교,1,285,23,8.07,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000530,연암공과대학교,1,2624,159,6.06,0,0,0,2026-08-07T10:05:19.980Z
2019,교육대학,국립,대학,경남,기존,0000203,진주교육대학교,1,1376,9,0.65,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000369,진주보건대학교,1,3203,116,3.62,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경남,기존,0000193,창신대학교,1,2396,159,6.64,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경남,기존,0000581,창원대학교,1,11497,526,4.58,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000528,창원문성대학교,1,6168,1069,17.33,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경남,기존,0000396,한국승강기대학교,1,1493,55,3.68,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경남,기존,0000503,한국폴리텍 특성화대학,1,1027,68,6.62,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경남,기존,0000496,한국폴리텍 VII 대학,1,2346,156,6.65,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000249,가톨릭상지대학교,1,2447,178,7.27,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000293,경북과학대학교,1,1720,193,11.22,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,공립,전문대학,경북,폐교,0000244,경북도립대학교,1,1224,117,9.56,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000523,경북보건대학교,1,1510,58,3.84,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000258,경북전문대학교,1,3799,245,6.45,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000188,경운대학교,1,6296,566,8.99,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000045,경일대학교,1,9557,718,7.51,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000586,경주대학교,1,1751,323,18.45,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000268,구미대학교,1,7201,603,8.37,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경북,기존,0000575,금오공과대학교,1,8505,371,4.36,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000185,김천대학교,1,4157,392,9.43,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000279,대경대학교,1,5634,707,12.55,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000063,대구가톨릭대학교,1,17115,833,4.87,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000061,대구대학교,1,24608,1358,5.52,0,0,0,2026-08-07T10:05:19.980Z
2019,사이버대학(대학),사립,대학,경북,기존,0000410,대구사이버대학교,1,4727,1004,21.24,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000062,대구예술대학교,1,1670,200,11.98,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000042,대구한의대학교,1,8605,506,5.88,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000065,대신대학교,1,646,39,6.04,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000076,동양대학교,1,5751,481,8.36,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000309,문경대학교,1,1109,54,4.87,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,폐교,0000262,서라벌대학교,1,859,55,6.4,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000380,선린대학교,1,3242,209,6.45,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000547,성덕대학교,1,1669,210,12.58,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000338,안동과학대학교,1,3697,147,3.98,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,경북,기존,0000580,안동대학교,1,8692,433,4.98,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000111,영남대학교,1,30052,1132,3.77,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000112,영남신학대학교,1,550,40,7.27,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000257,영남외국어대학,1,593,84,14.17,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000119,위덕대학교,1,3928,408,10.39,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000140,포항공과대학교,1,1697,21,1.24,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000381,포항대학교,1,2518,226,8.98,0,0,0,2026-08-07T10:05:19.980Z
2019,사이버대학(전문대학),사립,전문대학,경북,기존,0000407,한국복지사이버대학,1,2057,324,15.75,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경북,기존,0000495,한국폴리텍 VI 대학,1,900,92,10.22,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,경북,기존,0000504,한국폴리텍 VI 대학,1,92,9,9.78,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,경북,기존,0000146,한동대학교,1,5447,125,2.29,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,경북,기존,0000522,호산대학교,1,2368,253,10.68,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000052,광신대학교,1,602,60,9.97,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,특별법법인,대학,광주,기존,0000469,광주과학기술원,1,946,29,3.07,0,0,0,2026-08-07T10:05:19.980Z
2019,교육대학,국립,대학,광주,기존,0000196,광주교육대학교,1,1401,32,2.28,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000176,광주대학교,1,9388,829,8.83,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,광주,기존,0000267,광주보건대학교,1,4875,160,3.28,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000055,광주여자대학교,1,3846,196,5.1,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,광주,기존,0000273,기독간호대학교,1,680,13,1.91,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000162,남부대학교,1,3757,296,7.88,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,광주,기존,0000297,동강대학교,1,4099,452,11.03,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,광주,기존,0000320,서영대학교,1,8091,548,6.77,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000187,송원대학교,1,3706,362,9.77,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,광주,기존,0000016,전남대학교,2,27049,1005,3.72,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,광주,기존,0000366,조선간호대학교,1,829,12,1.45,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000127,조선대학교,1,27589,1348,4.89,0,0,0,2026-08-07T10:05:19.980Z
2019,전문대학,사립,전문대학,광주,기존,0000365,조선이공대학교,1,6477,536,8.28,0,0,0,2026-08-07T10:05:19.980Z
2019,기능대학,사립,전문대학,광주,기존,0000489,한국폴리텍 V 대학,1,1369,89,6.5,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000157,호남대학교,1,9364,557,5.95,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,광주,기존,0000158,호남신학대학교,1,807,49,6.07,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,국립,대학,대구,기존,0000003,경북대학교,1,30719,1107,3.6,0,0,0,2026-08-07T10:05:19.980Z
2019,대학교,사립,대학,대구,기존,0000048,계명대학교,1,30583,1511,4.94,0,0,0,2026-08-07T10:05:19.980Z
