year,cohort,school_rep_code,school_rep_name,region,estb,school_division,appraised_gross,collateral_deduction,appraised_net,income_total,tuition_revenue,secure_rate,revenue_rate,campus_count,has_alimi,updated_at
2021,university,0000525,케이씨대학교,서울,사립,대학,42907604,3342157,39565447,145828,9976511.314,396.6,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000142,한국성서대학교,서울,사립,대학,12023805,0,12023805,117172,8167634.5,147.2,1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000143,한국외국어대학교,서울,사립,대학,239334391,4000000,235334391,3949468,147333499,159.7,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000150,한성대학교,서울,사립,대학,48851195,0,48851195,533250,55508499.91,88,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000153,한양대학교,서울,사립,대학,620324533,0,620324533,6699920,327516820.7,189.4,1.1,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000160,홍익대학교,서울,사립,대학,153288541,0,153288541,1628719,195991497.1,78.2,1.1,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000066,대전가톨릭대학교,세종,사립,대학,4137716,965718,3171998,67482,444970,712.9,1.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000117,울산대학교,울산,사립,대학,139023768,0,139023768,5905165,102326754.5,135.9,4.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000123,인천가톨릭대학교,인천,사립,대학,101912994,26544519,75368475,1293617,6549511.365,1150.7,1.3,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000124,인하대학교,인천,사립,대학,200836098,0,200836098,1227115,163868470.2,122.6,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000054,광주가톨릭대학교,전남,사립,대학,934397,0,934397,15033,0,,1.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000074,동신대학교,전남,사립,대학,19742305,3400000,16342305,164069,43864479.51,37.3,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000166,목포가톨릭대학교,전남,사립,대학,3066709,0,3066709,52665,3258564.166,94.1,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000064,세한대학교,전남,사립,대학,4439949,0,4439949,37622,21975288.44,20.2,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000114,영산선학대학교,전남,사립,대학,4954996,7480302,-2525306,1784466,59000,-4280.2,36,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000190,초당대학교,전남,사립,대학,19313387,0,19313387,390285,19701845.18,98,2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000186,한려대학교,전남,사립,대학,0,0,0,0,2734816.18,0,,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000173,예수대학교,전북,사립,대학,3120875,0,3120875,48534,3693796.46,84.5,1.6,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000164,예원예술대학교,전북,사립,대학,9416468,807556,8608912,220750,16191202.67,53.2,2.3,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000116,우석대학교,전북,사립,대학,21056822,0,21056822,396953,53833024.95,39.1,1.9,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000118,원광대학교,전북,사립,대학,29060495,900000,28160495,1219421,119006586.4,23.7,4.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000126,전주대학교,전북,사립,대학,18473288,0,18473288,50000,80657542.92,22.9,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000155,한일장신대학교,전북,사립,대학,2517573,0,2517573,29244,7525305.9,33.5,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000223,호원대학교,전북,사립,대학,9756557,0,9756557,111967,35400654.01,27.6,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000192,제주국제대학교,제주,사립,대학,8419369,0,8419369,59752,0,,0.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000038,건양대학교,충남,사립,대학,71250003,0,71250003,2914529,51893413.54,137.3,4.1,2,Y,2026-08-15T07:41:06.072Z
2021,university,0000169,금강대학교,충남,사립,대학,5251624,0,5251624,0,2417714.433,217.2,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000059,나사렛대학교,충남,사립,대학,9766746,1235899,8530847,0,37338008.71,22.8,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000189,남서울대학교,충남,사립,대학,53635840,80000,53555840,1450027,73962775.43,72.4,2.7,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000131,백석대학교,충남,사립,대학,25280221,0,25280221,294799,107357956.7,23.5,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000094,선문대학교,충남,사립,대학,148029079,0,148029079,1950000,68914908.57,214.8,1.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000104,순천향대학교,충남,사립,대학,43436255,0,43436255,4260859,92226560.27,47.1,9.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000128,중부대학교,충남,사립,대학,14365814,9113000,5252814,294,62417531.94,8.4,0,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000225,청운대학교,충남,사립,대학,44275286,0,44275286,182000,43683333.07,101.4,0.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000141,한국기술교육대학교,충남,사립,대학,8475405,0,8475405,93815,19984540.38,42.4,1.1,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000149,한서대학교,충남,사립,대학,7330448,83356,7247092,150000,55835505.73,13,2,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000159,호서대학교,충남,사립,대학,38119449,2646515,35472934,305211,105798481.2,33.5,0.8,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000557,가톨릭꽃동네대학교,충북,사립,대학,42513808,0,42513808,1473053,3524693.59,1206.2,3.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000058,극동대학교,충북,사립,대학,10159638,646832,9512806,36940,26690534.82,35.6,0.4,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000093,서원대학교,충북,사립,대학,26178716,0,26178716,340682,44583303.27,58.7,1.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000099,세명대학교,충북,사립,대학,33863155,0,33863155,319221,52045574.18,65.1,0.9,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000113,유원대학교,충북,사립,대학,18867702,1058820,17808882,285000,25047224.95,71.1,1.5,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000183,중원대학교,충북,사립,대학,40498484,0,40498484,118454,28085992.2,144.2,0.3,1,Y,2026-08-15T07:41:06.072Z
2021,university,0000132,청주대학교,충북,사립,대학,20889270,0,20889270,499146,88077277.31,23.7,2.4,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000347,강릉영동대학교,강원,사립,전문대학,133641,0,133641,0,15238041.6,0.9,0,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000378,강원관광대학교,강원,사립,전문대학,16119462,0,16119462,769674,4883365.652,330.1,4.8,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000348,세경대학교,강원,사립,전문대학,1995622,0,1995622,33775,4907246.097,40.7,1.7,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000393,송곡대학교,강원,사립,전문대학,28132935,0,28132935,359000,3318440.79,847.8,1.3,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000390,송호대학교,강원,사립,전문대학,22559099,0,22559099,438384,5288204.564,426.6,1.9,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000542,한국골프대학교,강원,사립,전문대학,4346472,0,4346472,50712,3206915,135.5,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000383,한림성심대학교,강원,사립,전문대학,749774905,0,749774905,79228064,16792764.91,4464.9,10.6,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000387,경기과학기술대학교,경기,사립,전문대학,28229982,1927710,26302272,712220,28527405.92,92.2,2.5,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000255,경민대학교,경기,사립,전문대학,24418236,371662,24046574,149568,28095777.34,85.6,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000259,경복대학교,경기,사립,전문대학,17884617,0,17884617,438415,39814871.25,44.9,2.5,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000264,계원예술대학교,경기,사립,전문대학,67059700,0,67059700,390744,21632315.48,310,0.6,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000379,국제대학교,경기,사립,전문대학,8753104,96000,8657104,128552,23349828.5,37.1,1.5,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000277,김포대학교,경기,사립,전문대학,9567965,0,9567965,126056,19329800.44,49.5,1.3,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000278,농협대학교,경기,사립,전문대학,40000,0,40000,478,2223629.99,1.8,1.2,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000285,대림대학교,경기,사립,전문대학,23015869,0,23015869,613641,46935108.94,49,2.7,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000294,동남보건대학교,경기,사립,전문대학,4548046,0,4548046,43873,30398537.02,15,1,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000287,동서울대학교,경기,사립,전문대학,1807832,0,1807832,36715,39730554.89,4.6,2,1,Y,2026-08-15T07:41:06.072Z
2021,junior-college,0000298,동아방송예술대학교,경기,사립,전문대학,18767004,0,18767004,314400,22497397.95,83.4,1.7,1,Y,2026-08-15T07:41:06.072Z
