year,school_code_std,school_name,main_branch_name,school_rep_code,school_rep_name,parent_school_name,school_division,school_kind,region,estb,related_law,corp_name,status,student_aid_restrict,provisional_board,no_settlement,uploaded_at
2026,0000127,서울장신대학교,본교,0000092,서울장신대학교,서울장신대학교[본교],대학,대학교,경기,사립,고등교육법,광명학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000128,서원대학교,본교,0000093,서원대학교,서원대학교[본교],대학,대학교,충북,사립,고등교육법,서원학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000129,선문대학교,본교,0000094,선문대학교,선문대학교[본교],대학,대학교,충남,사립,고등교육법,선학학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000131,성결대학교,본교,0000095,성결대학교,성결대학교[본교],대학,대학교,경기,사립,고등교육법,성결신학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000132,성공회대학교,본교,0000096,성공회대학교,성공회대학교[본교],대학,대학교,서울,사립,고등교육법,성공회대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000133,성균관대학교,본교,0000097,성균관대학교,성균관대학교[본교],대학,대학교,서울,사립,고등교육법,성균관대학,기존,,,,2026-08-14T22:41:45.160Z
2026,0000136,성신여자대학교,본교,0000098,성신여자대학교,성신여자대학교[본교],대학,대학교,서울,사립,고등교육법,성신학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000137,세명대학교,본교,0000099,세명대학교,세명대학교[본교],대학,대학교,충북,사립,고등교육법,대원교육재단,기존,,,,2026-08-14T22:41:45.160Z
2026,0000138,세종대학교,본교,0000100,세종대학교,세종대학교[본교],대학,대학교,서울,사립,고등교육법,대양학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000139,수원가톨릭대학교,본교,0000101,수원가톨릭대학교,수원가톨릭대학교[본교],대학,대학교,경기,사립,고등교육법,광암학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000140,수원대학교,본교,0000102,수원대학교,수원대학교[본교],대학,대학교,경기,사립,고등교육법,고운학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000141,숙명여자대학교,본교,0000103,숙명여자대학교,숙명여자대학교[본교],대학,대학교,서울,사립,고등교육법,숙명학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000142,순천향대학교,본교,0000104,순천향대학교,순천향대학교[본교],대학,대학교,충남,사립,고등교육법,동은학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000143,숭실대학교,본교,0000105,숭실대학교,숭실대학교[본교],대학,대학교,서울,사립,고등교육법,숭실대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000144,신라대학교,본교,0000106,신라대학교,신라대학교[본교],대학,대학교,부산,사립,고등교육법,박영학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000145,아신대학교,본교,0000558,아신대학교,아신대학교[본교],대학,대학교,경기,사립,고등교육법,아세아연합신학대학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000146,아주대학교,본교,0000108,아주대학교,아주대학교[본교],대학,대학교,경기,사립,고등교육법,대우학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000147,안양대학교,본교,0000109,안양대학교,안양대학교[본교],대학,대학교,경기,사립,고등교육법,우일학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000148,안양대학교,제2캠퍼스,0000109,안양대학교,안양대학교[제2캠퍼스],대학,대학교,인천,사립,고등교육법,우일학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000149,연세대학교,본교,0000110,연세대학교,연세대학교[본교],대학,대학교,서울,사립,고등교육법,연세대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000150,연세대학교(미래),분교,0000110,연세대학교,연세대학교(미래)[분교],대학,대학교,강원,사립,고등교육법,연세대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000151,영남대학교,본교,0000111,영남대학교,영남대학교[본교],대학,대학교,경북,사립,고등교육법,영남학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000153,영남신학대학교,본교,0000112,영남신학대학교,영남신학대학교[본교],대학,대학교,경북,사립,고등교육법,영남신학대학교,기존,해당,,,2026-08-14T22:41:45.160Z
2026,0000154,유원대학교,본교,0000113,유원대학교,유원대학교[본교],대학,대학교,충북,사립,고등교육법,금강학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000155,영산선학대학교,본교,0000114,영산선학대학교,영산선학대학교[본교],대학,대학교,전남광주,사립,고등교육법,영산학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000156,용인대학교,본교,0000115,용인대학교,용인대학교[본교],대학,대학교,경기,사립,고등교육법,단호학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000157,우석대학교,본교,0000116,우석대학교,우석대학교[본교],대학,대학교,전북,사립,고등교육법,우석학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000158,울산대학교,본교,0000117,울산대학교,울산대학교[본교],대학,대학교,울산,사립,고등교육법,울산공업학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000159,원광대학교,본교,0000118,원광대학교,원광대학교[본교],대학,대학교,전북,사립,고등교육법,원광학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000160,위덕대학교,본교,0000119,위덕대학교,위덕대학교[본교],대학,대학교,경북,사립,고등교육법,회당학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000161,을지대학교,본교,0000120,을지대학교,을지대학교[본교],대학,대학교,대전,사립,고등교육법,을지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000162,을지대학교,제2캠퍼스,0000120,을지대학교,을지대학교[제2캠퍼스],대학,대학교,경기,사립,고등교육법,을지학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000163,이화여자대학교,본교,0000121,이화여자대학교,이화여자대학교[본교],대학,대학교,서울,사립,고등교육법,이화학당,기존,,,,2026-08-14T22:41:45.160Z
2026,0000164,인제대학교,본교,0000122,인제대학교,인제대학교[본교],대학,대학교,경남,사립,고등교육법,인제학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000166,인제대학교,제2캠퍼스,0000122,인제대학교,인제대학교[제2캠퍼스],대학,대학교,부산,사립,고등교육법,인제학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000167,인천가톨릭대학교,제2캠퍼스,0000123,인천가톨릭대학교,인천가톨릭대학교[제2캠퍼스],대학,대학교,인천,사립,고등교육법,인천가톨릭학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000168,인천가톨릭대학교,본교,0000123,인천가톨릭대학교,인천가톨릭대학교[본교],대학,대학교,인천,사립,고등교육법,인천가톨릭학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000169,인하대학교,본교,0000124,인하대학교,인하대학교[본교],대학,대학교,인천,사립,고등교육법,정석인하학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000170,장로회신학대학교,본교,0000125,장로회신학대학교,장로회신학대학교[본교],대학,대학교,서울,사립,고등교육법,장로회신학대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000171,전주대학교,본교,0000126,전주대학교,전주대학교[본교],대학,대학교,전북,사립,고등교육법,신동아학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000172,조선대학교,본교,0000127,조선대학교,조선대학교[본교],대학,대학교,전남광주,사립,고등교육법,조선대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000173,중부대학교,본교,0000128,중부대학교,중부대학교[본교],대학,대학교,충남,사립,고등교육법,중부학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000174,중앙대학교,제2캠퍼스,0000129,중앙대학교,중앙대학교[제2캠퍼스],대학,대학교,경기,사립,고등교육법,중앙대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000175,중앙대학교,본교,0000129,중앙대학교,중앙대학교[본교],대학,대학교,서울,사립,고등교육법,중앙대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000177,중앙승가대학교,본교,0000130,중앙승가대학교,중앙승가대학교[본교],대학,대학교,경기,사립,고등교육법,승가학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000178,백석대학교,본교,0000131,백석대학교,백석대학교[본교],대학,대학교,충남,사립,고등교육법,백석대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000179,청주대학교,본교,0000132,청주대학교,청주대학교[본교],대학,대학교,충북,사립,고등교육법,청석학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000180,총신대학교,본교,0000133,총신대학교,총신대학교[본교],대학,대학교,서울,사립,고등교육법,대한예수교장로회 총신대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000181,추계예술대학교,본교,0000134,추계예술대학교,추계예술대학교[본교],대학,대학교,서울,사립,고등교육법,추계학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000182,한국침례신학대학교,본교,0000551,한국침례신학대학교,한국침례신학대학교[본교],대학,대학교,대전,사립,고등교육법,한국침례신학원,기존,해당,,,2026-08-14T22:41:45.160Z
2026,0000184,칼빈대학교,본교,0000136,칼빈대학교,칼빈대학교[본교],대학,대학교,경기,사립,고등교육법,칼빈신학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000186,평택대학교,본교,0000138,평택대학교,평택대학교[본교],대학,대학교,경기,사립,고등교육법,피어선기념학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000187,차의과학대학교,본교,0000139,차의과학대학교,차의과학대학교[본교],대학,대학교,경기,사립,고등교육법,성광학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000188,포항공과대학교,본교,0000140,포항공과대학교,포항공과대학교[본교],대학,대학교,경북,사립,고등교육법,포항공과대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000189,한국기술교육대학교,본교,0000141,한국기술교육대학교,한국기술교육대학교[본교],대학,대학교,충남,사립,고등교육법,한국기술교육대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000191,한국성서대학교,본교,0000142,한국성서대학교,한국성서대학교[본교],대학,대학교,서울,사립,고등교육법,한국복음주의학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000192,한국외국어대학교,본교,0000143,한국외국어대학교,한국외국어대학교[본교],대학,대학교,서울,사립,고등교육법,동원육영회,기존,,,,2026-08-14T22:41:45.160Z
2026,0000194,한국항공대학교,본교,0000144,한국항공대학교,한국항공대학교[본교],대학,대학교,경기,사립,고등교육법,정석인하학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000195,한남대학교,본교,0000145,한남대학교,한남대학교[본교],대학,대학교,대전,사립,고등교육법,대전기독학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000196,한동대학교,본교,0000146,한동대학교,한동대학교[본교],대학,대학교,경북,사립,고등교육법,한동대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000197,한라대학교,본교,0000147,한라대학교,한라대학교[본교],대학,대학교,강원,사립,고등교육법,배달학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000198,한림대학교,본교,0000148,한림대학교,한림대학교[본교],대학,대학교,강원,사립,고등교육법,일송학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000199,한서대학교,본교,0000149,한서대학교,한서대학교[본교],대학,대학교,충남,사립,고등교육법,함주학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000200,한성대학교,본교,0000150,한성대학교,한성대학교[본교],대학,대학교,서울,사립,고등교육법,한성(漢城)학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000201,한세대학교,본교,0000151,한세대학교,한세대학교[본교],대학,대학교,경기,사립,고등교육법,한세대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000202,한신대학교,본교,0000152,한신대학교,한신대학교[본교],대학,대학교,경기,사립,고등교육법,한신학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000203,한양대학교,본교,0000153,한양대학교,한양대학교[본교],대학,대학교,서울,사립,고등교육법,한양학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000204,한양대학교(ERICA),분교,0000153,한양대학교,한양대학교(ERICA)[분교],대학,대학교,경기,사립,고등교육법,한양학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000205,서울한영대학교,본교,0000539,서울한영대학교,서울한영대학교[본교],대학,대학교,서울,사립,고등교육법,학교법인 한영신학대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000206,한일장신대학교,본교,0000155,한일장신대학교,한일장신대학교[본교],대학,대학교,전북,사립,고등교육법,한일신학,기존,해당,,,2026-08-14T22:41:45.160Z
2026,0000207,협성대학교,본교,0000156,협성대학교,협성대학교[본교],대학,대학교,경기,사립,고등교육법,삼일학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000208,호남대학교,본교,0000157,호남대학교,호남대학교[본교],대학,대학교,전남광주,사립,고등교육법,성인학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000209,호남신학대학교,본교,0000158,호남신학대학교,호남신학대학교[본교],대학,대학교,전남광주,사립,고등교육법,호남신학대학교,기존,,,,2026-08-14T22:41:45.160Z
2026,0000211,호서대학교,본교,0000159,호서대학교,호서대학교[본교],대학,대학교,충남,사립,고등교육법,호서학원,기존,,,,2026-08-14T22:41:45.160Z
2026,0000212,홍익대학교,본교,0000160,홍익대학교,홍익대학교[본교],대학,대학교,서울,사립,고등교육법,홍익학원,기존,,,,2026-08-14T22:41:45.160Z
