year,cohort,school_rep_code,school_rep_name,region,estb,school_division,student_quota,recruitment_stop,enrolled_total,enrolled_within,enrolled_outside,fill_rate_within,fill_rate_within_outside,campus_count,grad_program_count,has_alimi,updated_at
2024,graduate,0000164,예원예술대학교,전북,사립,대학원,170,0,286,114,172,67.1,168.2,3,3,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000116,우석대학교,전북,사립,대학원,577.5,0,791,495,296,85.7,137,6,4,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000118,원광대학교,전북,사립,대학원,1560.5,0,1100,1026,74,65.7,70.5,6,6,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000126,전주대학교,전북,사립,대학원,875,0,779,657,122,75.1,89,7,7,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000155,한일장신대학교,전북,사립,대학원,315,0,188,188,0,59.7,59.7,7,7,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000192,제주국제대학교,제주,사립,대학원,342.5,0,225,221,4,64.5,65.7,4,4,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000169,금강대학교,충남,사립,대학원,32.5,0,16,16,0,49.2,49.2,1,1,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000059,나사렛대학교,충남,사립,대학원,273,0,233,216,17,79.1,85.3,4,4,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000189,남서울대학교,충남,사립,대학원,390,0,822,309,513,79.2,210.8,3,3,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000094,선문대학교,충남,사립,대학원,655.5,0,601,414,187,63.2,91.7,3,3,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000104,순천향대학교,충남,사립,대학원,1178,0,1240,1029,211,87.4,105.3,6,6,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000128,중부대학교,충남,사립,대학원,1192,0,2153,1235,918,103.6,180.6,4,4,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000225,청운대학교,충남,사립,대학원,120,0,491,97,394,80.8,409.2,1,1,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000141,한국기술교육대학교,충남,사립,대학원,488,0,570,355,215,72.7,116.8,3,3,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000149,한서대학교,충남,사립,대학원,400,0,490,289,201,72.3,122.5,5,5,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000159,호서대학교,충남,사립,대학원,1304.5,0,1670,1161,509,89,128,11,11,Y,2026-08-15T09:17:42.571Z
2024,graduate,0000557,가톨릭꽃동네대학교,충북,사립,대학원,100,0,64,64,0,64,64,2,2,Y,2026-08-15T09:17:42.571Z
