year,cohort,school_rep_code,school_rep_name,region,estb,school_division,tuition_revenue,edu_operating_revenue,industry_operating_revenue,total_operating_revenue,tuition_dependency_rate,campus_count,has_alimi,updated_at
2020,university,0000071,동국대학교,서울,사립,대학,214686985.9,315314677.7,87079566.26,402394243.96,53.4,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000072,동덕여자대학교,서울,사립,대학,52311935.33,80050632.13,4242042.642,84292674.772,62.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000084,삼육대학교,서울,사립,대학,46201973.16,73711217.64,7149648.764,80860866.404,57.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000085,상명대학교,서울,사립,대학,107670378.7,153803247.1,37424657.74,191227904.84,56.3,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000087,서강대학교,서울,사립,대학,102451524,143765889.8,66727248.81,210493138.61,48.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000088,서경대학교,서울,사립,대학,49019921.07,75502369.29,10346372.36,85848741.65,57.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000069,서울기독대학교,서울,사립,대학,0,0,38248.19,38248.19,0,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000091,서울여자대학교,서울,사립,대학,53089895.47,81649406.09,7687308.261,89336714.35100001,59.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000539,서울한영대학교,서울,사립,대학,6045081.03,9224414.429,0.564,9224414.992999999,65.5,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000096,성공회대학교,서울,사립,대학,17041987.23,26874838.15,2750192.983,29625031.132999998,57.5,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000097,성균관대학교,서울,사립,대학,271257112.1,557930155.1,331396343.3,889326498.4000001,30.5,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000098,성신여자대학교,서울,사립,대학,75745580.17,107023856.1,9134197.056,116158053.15599999,65.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000100,세종대학교,서울,사립,대학,120201796.1,173827996,78448230.5,252276226.5,47.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000103,숙명여자대학교,서울,사립,대학,103145047.7,150187419.4,35169048.46,185356467.86,55.6,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000105,숭실대학교,서울,사립,대학,135433853.5,195181896.2,56986244.16,252168140.35999998,53.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000110,연세대학교,서울,사립,대학,391949729.3,881506434,451948056.3,1333454490.3,29.4,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000121,이화여자대학교,서울,사립,대학,201722872.4,299565854.5,113376392.9,412942247.4,48.9,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000125,장로회신학대학교,서울,사립,대학,16144372.56,26866060.76,0,26866060.76,60.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000129,중앙대학교,서울,사립,대학,261283131.8,363604421.1,133911366.4,497515787.5,52.5,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000133,총신대학교,서울,사립,대학,25697682.35,40740201.85,428427.019,41168628.869,62.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000134,추계예술대학교,서울,사립,대학,10830626.28,16360859.04,70974.105,16431833.145,65.9,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000525,케이씨대학교,서울,사립,대학,9976511.314,15501956.49,1486946.063,16988902.553,58.7,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000142,한국성서대학교,서울,사립,대학,8167634.5,16074685.84,190732.658,16265418.498,50.2,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000143,한국외국어대학교,서울,사립,대학,147333499,209692890.7,24138874.68,233831765.38,63,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000150,한성대학교,서울,사립,대학,55508499.91,87308116.03,8301001.253,95609117.283,58.1,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000153,한양대학교,서울,사립,대학,327516820.7,493490452.3,315074702.8,808565155.1,40.5,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000160,홍익대학교,서울,사립,대학,195991497.1,274457491.3,31391665.32,305849156.62,64.1,2,Y,2026-08-15T06:33:03.497Z
2020,university,0000066,대전가톨릭대학교,세종,사립,대학,444970,3323061.651,0,3323061.651,13.4,1,Y,2026-08-15T06:33:03.497Z
2020,university,0000117,울산대학교,울산,사립,대학,102326754.5,220279530.1,80397743.12,300677273.22,34,1,Y,2026-08-15T06:33:03.497Z
